Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M20_T3_1.2,Ch1Unknown,CARP,Manual,0.34,ddPCR Supermix for Probes,6.8,,,0.91,0.08,3,10248,0,3,52,10196,0,10251,,,,,,,,0.06,,,0.13,0,5,,,12,0,1,1,7000,8373.9,3790.7,3792.1,,,,,0.59,0.18,,,,,,,0.093,0.022,,,8.6,2.3
A02,Absolute Quantification,ABS,M20_T3_1.2,Ch1Unknown,CARP,Manual,0.6,ddPCR Supermix for Probes,12,,,1.2,0.2,6,11601,1,5,64,11537,0.0986,11607,,,,,,,,0.09,,,0.17,0.01,8,,,15,2,1,1,7000,8365.6,3855.7,3858,,,,,0.89,0.39,,,,,,,0.132,0.052,,,11.8,5.1
A03,Absolute Quantification,ABS,M20_T3_1.2,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.3,0.3,6,10715,1,5,69,10646,0.106,10721,,,,,,,,0.09,,,0.16,0.01,8,,,14,2,1,1,7000,8488.2,3982.1,3984.7,,,,,0.97,0.42,,,,,,,0.122,0.049,,,11,4.7
B01,Absolute Quantification,ABS,M20_T3_0.4,Ch1Unknown,CARP,Manual,0.11,ddPCR Supermix for Probes,2.2,,,0.54,0,1,10430,0,1,5,10425,0,10431,,,,,,,,0.2,,,0.71,0,17,,,52,0,1,1,7000,8412.3,3840.8,3841.3,,,,,0.28,0.03,,,,,,,0.44,0,,,33,0
B02,Absolute Quantification,ABS,M20_T3_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.27,0,0,13122,0,0,5,13117,0,13122,,,,,,,,,,,,,,,,,,1,1,7000,0,3911.1,3911.1,,,,,0.12,0,,,,,,,,,,,,
B03,Absolute Quantification,ABS,M20_T3_0.4,Ch1Unknown,CARP,Manual,0.26,ddPCR Supermix for Probes,5.2,,,0.82,0.04,2,9212,0,2,3,9209,0,9214,,,,,,,,0.7,,,2,0,40,,,87,0,1,1,7000,9067.8,4136.8,4137.9,,,,,0.49,0.11,,,,,,,1.3,0,,,63,17
C01,Absolute Quantification,ABS,M21_T3_1.2,Ch1Unknown,CARP,Manual,1.8,ddPCR Supermix for Probes,36,,,2.9,1,14,9335,0,14,99,9236,0,9349,,,,,,,,0.14,,,0.22,0.06,12,,,18,6,1,1,7000,8433.2,3998.8,4005.4,,,,,2.28,1.33,,,,,,,0.181,0.1,,,15.4,9.2
C02,Absolute Quantification,ABS,M21_T3_1.2,Ch1Unknown,CARP,Manual,2.6,ddPCR Supermix for Probes,52,,,3.7,1.7,27,12177,5,22,100,12077,0.465,12204,,,,,,,,0.26,,,0.37,0.15,20,,,27,13,1,1,7000,8307,3913.4,3923.1,,,,,3.1,2.1,,,,,,,0.31,0.2,,,23.9,16.9
C03,Absolute Quantification,ABS,M21_T3_1.2,Ch1Unknown,CARP,Manual,1.8,ddPCR Supermix for Probes,36,,,2.7,1,17,11328,3,14,114,11214,0.296,11345,,,,,,,,0.14,,,0.22,0.07,13,,,18,7,1,1,7000,8725.9,4169.8,4176.6,,,,,2.23,1.37,,,,,,,0.182,0.107,,,15.5,9.8
D01,Absolute Quantification,ABS,M21_T3_0.4,Ch1Unknown,CARP,Manual,0.64,ddPCR Supermix for Probes,12.8,,,1.25,0.27,7,12780,0,7,55,12725,0,12787,,,,,,,,0.13,,,0.23,0.02,11,,,19,3,1,1,7000,8793,4137.9,4140.4,,,,,0.92,0.43,,,,,,,0.18,0.08,,,15.3,7.2
D02,Absolute Quantification,ABS,M21_T3_0.4,Ch1Unknown,CARP,Manual,0.8,ddPCR Supermix for Probes,16,,,1.4,0.4,9,13648,0,9,82,13566,0,13657,,,,,,,,0.11,,,0.19,0.03,10,,,16,4,1,1,7000,8649.9,4106.1,4109.1,,,,,1.06,0.54,,,,,,,0.148,0.071,,,13,6.7
D03,Absolute Quantification,ABS,M21_T3_0.4,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.4,0.3,8,13053,0,8,86,12967,0,13061,,,,,,,,0.09,,,0.16,0.02,8,,,14,3,1,1,7000,8970,4283.6,4286.5,,,,,1.01,0.49,,,,,,,0.127,0.058,,,11.4,5.6
E01,Absolute Quantification,ABS,M22_T3_1.2,Ch1Unknown,CARP,Manual,0.41,ddPCR Supermix for Probes,8.2,,,0.97,0.12,4,11417,0,4,70,11347,0,11421,,,,,,,,0.06,,,0.12,0,5,,,11,0,1,1,7000,8579.4,3929.5,3931.1,,,,,0.66,0.24,,,,,,,0.087,0.027,,,8.1,2.7
E02,Absolute Quantification,ABS,M22_T3_1.2,Ch1Unknown,CARP,Manual,0.47,ddPCR Supermix for Probes,9.4,,,1.01,0.16,5,12609,0,5,86,12523,0,12614,,,,,,,,0.06,,,0.11,0,5.5,,,10.3,0.6,1,1,7000,8739.1,3983.3,3985.2,,,,,0.71,0.29,,,,,,,0.085,0.031,,,7.9,3.1
E03,Absolute Quantification,ABS,M22_T3_1.2,Ch1Unknown,CARP,Manual,0.9,ddPCR Supermix for Probes,18,,,1.6,0.4,9,12354,0,9,79,12275,0,12363,,,,,,,,0.11,,,0.19,0.03,10,,,17,4,1,1,7000,8692.9,4085.2,4088.6,,,,,1.18,0.6,,,,,,,0.154,0.073,,,13.4,7
F01,Absolute Quantification,ABS,M22_T3_0.4,Ch1Unknown,CARP,Manual,0.6,ddPCR Supermix for Probes,12,,,1.3,0.2,6,11079,0,6,11,11068,0,11085,,,,,,,,0.5,,,1.1,0,35,,,59,12,1,1,7000,8516.5,3905.7,3908.2,,,,,0.94,0.41,,,,,,,0.83,0.27,,,47,24
F02,Absolute Quantification,ABS,M22_T3_0.4,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.3,0.3,8,13069,0,8,9,13060,0,13077,,,,,,,,0.9,,,1.8,0,47,,,71,23,1,1,7000,8701.8,3996.3,3999.2,,,,,1.01,0.49,,,,,,,1.32,0.45,,,59,35
F03,Absolute Quantification,ABS,M22_T3_0.4,Ch1Unknown,CARP,Manual,0.6,ddPCR Supermix for Probes,12,,,1.3,0.2,5,9636,0,5,10,9626,0,9641,,,,,,,,0.5,,,1.1,0,33,,,58,9,1,1,7000,8689.8,4043.5,4046,,,,,0.93,0.37,,,,,,,0.78,0.22,,,46,21
G01,Absolute Quantification,ABS,M23_T3_1.2,Ch1Unknown,CARP,Manual,2.6,ddPCR Supermix for Probes,52,,,3.8,1.7,23,10496,0,23,169,10327,0,10519,,,,,,,,0.14,,,0.19,0.08,11.9,,,16.5,7.3,1,1,7000,8879.2,4713,4722.1,,,,,3.1,2.1,,,,,,,0.165,0.105,,,14.2,9.6
G02,Absolute Quantification,ABS,M23_T3_1.2,Ch1Unknown,CARP,Manual,4.1,ddPCR Supermix for Probes,82,,,5.5,3,42,12001,1,41,217,11784,0.0239,12043,,,,,,,,0.19,,,0.25,0.13,16.1,,,20.5,11.6,1,1,7000,8732.4,4722.8,4736.8,,,,,4.8,3.5,,,,,,,0.223,0.159,,,18.3,13.8
G03,Absolute Quantification,ABS,M23_T3_1.2,Ch1Unknown,CARP,Manual,3.8,ddPCR Supermix for Probes,76,,,5.1,2.7,37,11490,1,36,224,11266,0.029,11527,,,,,,,,0.16,,,0.22,0.11,14,,,18.2,9.8,1,1,7000,8678.3,4734.3,4746.9,,,,,4.4,3.2,,,,,,,0.192,0.134,,,16.2,11.9
H01,Absolute Quantification,ABS,M23_T3_0.4,Ch1Unknown,CARP,Manual,0.9,ddPCR Supermix for Probes,18,,,1.8,0.3,6,7905,0,6,76,7829,0,7911,,,,,,,,0.08,,,0.15,0.01,7,,,13,1,1,1,7000,8505,5236,5238.4,,,,,1.31,0.57,,,,,,,0.112,0.045,,,10.2,4.4
H02,Absolute Quantification,ABS,M23_T3_0.4,Ch1Unknown,CARP,Manual,1,ddPCR Supermix for Probes,20,,,1.7,0.5,12,13835,0,12,111,13724,0,13847,,,,,,,,0.11,,,0.17,0.04,10,,,15,4,1,1,7000,8649.6,5273.3,5276.3,,,,,1.34,0.75,,,,,,,0.141,0.075,,,12.4,7
H03,Absolute Quantification,ABS,M23_T3_0.4,Ch1Unknown,CARP,Manual,2,ddPCR Supermix for Probes,40,,,3.1,1.3,19,10912,0,19,89,10823,0,10931,,,,,,,,0.21,,,0.32,0.11,18,,,25,10,1,1,7000,8653.6,5233.5,5239.4,,,,,2.55,1.61,,,,,,,0.27,0.16,,,21.2,13.9
A04,Absolute Quantification,ABS,M24_T3_1.2,Ch1Unknown,CARP,Manual,2.4,ddPCR Supermix for Probes,48,,,3.4,1.6,28,13837,0,28,159,13678,0,13865,,,,,,,,0.18,,,0.25,0.1,15,,,20,10,1,1,7000,8443.8,4035.2,4044.1,,,,,2.86,1.96,,,,,,,0.211,0.139,,,17.5,12.3
A05,Absolute Quantification,ABS,M24_T3_1.2,Ch1Unknown,CARP,Manual,1.9,ddPCR Supermix for Probes,38,,,2.9,1.1,17,10725,0,17,143,10582,0,10742,,,,,,,,0.12,,,0.18,0.06,10.6,,,15.4,5.8,1,1,7000,8504,4078.7,4085.7,,,,,2.35,1.45,,,,,,,0.149,0.088,,,13,8.1
A06,Absolute Quantification,ABS,M24_T3_1.2,Ch1Unknown,CARP,Manual,2.4,ddPCR Supermix for Probes,48,,,3.4,1.6,27,13452,0,27,164,13288,0,13479,,,,,,,,0.16,,,0.23,0.1,14.1,,,19,9.1,1,1,7000,8614.4,4139.3,4148.3,,,,,2.84,1.93,,,,,,,0.198,0.13,,,16.6,11.6
B04,Absolute Quantification,ABS,M24_T3_0.4,Ch1Unknown,CARP,Manual,1.3,ddPCR Supermix for Probes,26,,,2.1,0.7,13,12099,0,13,72,12027,0,12112,,,,,,,,0.18,,,0.29,0.07,15,,,23,8,1,1,7000,8650.7,4099.4,4104.3,,,,,1.65,0.94,,,,,,,0.23,0.13,,,19.2,11.4
B05,Absolute Quantification,ABS,M24_T3_0.4,Ch1Unknown,CARP,Manual,0.9,ddPCR Supermix for Probes,18,,,1.7,0.4,9,11594,1,8,67,11527,0.0967,11603,,,,,,,,0.13,,,0.23,0.04,12,,,19,4,1,1,7000,8440.7,4112.3,4115.6,,,,,1.25,0.64,,,,,,,0.179,0.085,,,15.3,8
B06,Absolute Quantification,ABS,M24_T3_0.4,Ch1Unknown,CARP,Manual,0.65,ddPCR Supermix for Probes,13,,,1.27,0.28,7,12604,0,7,90,12514,0,12611,,,,,,,,0.08,,,0.14,0.02,7,,,12,2,1,1,7000,8596.8,4160.4,4162.8,,,,,0.93,0.44,,,,,,,0.108,0.047,,,9.8,4.5
C04,Absolute Quantification,ABS,M19_T4_1.2,Ch1Unknown,CARP,Manual,0.5,ddPCR Supermix for Probes,10,,,1.08,0.17,5,11873,0,5,89,11784,0,11878,,,,,,,,0.06,,,0.11,0,5.3,,,10,0.6,1,1,7000,8618.3,4066.2,4068.1,,,,,0.75,0.3,,,,,,,0.082,0.03,,,7.6,3
C05,Absolute Quantification,ABS,M19_T4_1.2,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.4,0.3,6,10210,0,6,72,10138,0,10216,,,,,,,,0.08,,,0.15,0.01,8,,,14,2,1,1,7000,8615.3,4093.1,4095.8,,,,,1.02,0.44,,,,,,,0.119,0.047,,,10.7,4.6
C06,Absolute Quantification,ABS,M19_T4_1.2,Ch1Unknown,CARP,Manual,0.62,ddPCR Supermix for Probes,12.4,,,1.22,0.27,7,13174,0,7,72,13102,0,13181,,,,,,,,0.1,,,0.17,0.02,9,,,15,2,1,1,7000,8629.3,4097.2,4099.6,,,,,0.89,0.42,,,,,,,0.136,0.058,,,12.1,5.6
D04,Absolute Quantification,ABS,M19_T4_0.4,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.3,0.3,7,12005,0,7,17,11988,0,12012,,,,,,,,0.41,,,0.78,0.04,29,,,48,11,1,1,7000,9003.3,4225.2,4228,,,,,0.98,0.46,,,,,,,0.6,0.23,,,39,20
D05,Absolute Quantification,ABS,M19_T4_0.4,Ch1Unknown,CARP,Manual,0.62,ddPCR Supermix for Probes,12.4,,,1.21,0.26,7,13262,0,7,14,13248,0,13269,,,,,,,,0.5,,,0.96,0.04,33,,,54,13,1,1,7000,8613.6,4115.9,4118.2,,,,,0.89,0.41,,,,,,,0.73,0.27,,,44,23
D06,Absolute Quantification,ABS,M19_T4_0.4,Ch1Unknown,CARP,Manual,0.56,ddPCR Supermix for Probes,11.2,,,1.09,0.24,7,14658,0,7,5,14653,0,14665,,,,,,,,1.4,,,3.1,0,58,,,87,29,1,1,7000,8517,4162.8,4164.9,,,,,0.8,0.37,,,,,,,2.2,0.6,,,73,44
E04,Absolute Quantification,ABS,M20_T4_1.2,Ch1Unknown,CARP,Manual,0.32,ddPCR Supermix for Probes,6.4,,,0.75,0.1,4,14734,0,4,71,14663,0,14738,,,,,,,,0.06,,,0.12,0,5,,,11,0,1,1,7000,8945.1,4146.7,4148,,,,,0.51,0.18,,,,,,,0.086,0.027,,,8,2.7
E05,Absolute Quantification,ABS,M20_T4_1.2,Ch1Unknown,CARP,Manual,0.35,ddPCR Supermix for Probes,7,,,0.82,0.11,4,13503,0,4,60,13443,0,13507,,,,,,,,0.07,,,0.14,0,6,,,12,0,1,1,7000,8836,4131.7,4133.1,,,,,0.56,0.2,,,,,,,0.102,0.031,,,9.3,3.2
E06,Absolute Quantification,ABS,M20_T4_1.2,Ch1Unknown,CARP,Manual,0.16,ddPCR Supermix for Probes,3.2,,,0.51,0.02,2,14755,0,2,67,14688,0,14757,,,,,,,,0.03,,,0.076,0,2.9,,,7.2,0,1,1,7000,8661.7,4175.8,4176.4,,,,,0.31,0.07,,,,,,,0.052,0.007,,,5,0.8
F04,Absolute Quantification,ABS,M20_T4_0.4,Ch1Unknown,CARP,Manual,0.18,ddPCR Supermix for Probes,3.6,,,0.59,0.03,2,12775,0,2,1,12774,0,12777,,,,,,,,2,,,7.6,0,70,,,130,0,1,1,7000,8505.9,4111.8,4112.5,,,,,0.35,0.08,,,,,,,4.7,0,,,96,37
F05,Absolute Quantification,ABS,M20_T4_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.26,0,0,13632,0,0,0,13632,0,13632,,,,,,,,,,,,,,,,,,1,1,7000,0,4166.4,4166.4,,,,,0.12,0,,,,,,,,,,,,
F06,Absolute Quantification,ABS,M20_T4_0.4,Ch1Unknown,CARP,Manual,0.08,ddPCR Supermix for Probes,1.6,,,0.39,0,1,14449,0,1,1,14448,0,14450,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,7000,8756.8,4165.8,4166.1,,,,,0.2,0.02,,,,,,,2.6,0,,,89,11
G04,Absolute Quantification,ABS,M21_T4_1.2,Ch1Unknown,CARP,Manual,0.43,ddPCR Supermix for Probes,8.6,,,0.93,0.15,5,13810,0,5,77,13733,0,13815,,,,,,,,0.06,,,0.13,0,6,,,11,1,1,1,7000,8646.4,4207.2,4208.8,,,,,0.65,0.26,,,,,,,0.095,0.034,,,8.8,3.4
