Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M8_T3_0.4,Ch1Unknown,CARP,Manual,1.5,ddPCR Supermix for Probes,30,,,2.4,0.9,19,14444,1,18,163,14281,0.0646,14463,,,,,,,,0.12,,,0.17,0.06,10.3,,,14.8,5.9,1,1,7000,8185.7,3593.7,3599.7,,,,,1.93,1.22,,,,,,,0.143,0.087,,,12.6,8.1
A02,Absolute Quantification,ABS,M8_T3_0.4,Ch1Unknown,CARP,Manual,2,ddPCR Supermix for Probes,40,,,3.2,1.2,16,9258,2,14,116,9142,0.231,9274,,,,,,,,0.13,,,0.21,0.06,12,,,17,6,1,1,7000,8436.7,3791.4,3799.4,,,,,2.6,1.6,,,,,,,0.171,0.099,,,14.7,9.1
A03,Absolute Quantification,ABS,M8_T3_0.4,Ch1Unknown,CARP,Manual,1.7,ddPCR Supermix for Probes,34,,,2.7,1,15,10543,0,15,108,10435,0,10558,,,,,,,,0.14,,,0.21,0.06,12,,,18,6,1,1,7000,8425.8,3829.1,3835.6,,,,,2.14,1.28,,,,,,,0.176,0.1,,,15.1,9.2
A04,Absolute Quantification,ABS,M12_T3_0.4,Ch1Unknown,CARP,Manual,0.12,ddPCR Supermix for Probes,2.4,,,0.57,0,1,9906,0,1,15,9891,0,9907,,,,,,,,0.07,,,0.23,0,6,,,20,0,1,1,7000,8315.4,3900.6,3901,,,,,0.3,0.03,,,,,,,0.14,0,,,13,0
A05,Absolute Quantification,ABS,M12_T3_0.4,Ch1Unknown,CARP,Manual,0.12,ddPCR Supermix for Probes,2.4,,,0.59,0.01,1,9605,0,1,8,9597,0,9606,,,,,,,,0.12,,,0.43,0,11,,,36,0,1,1,7000,8320.6,3882.7,3883.2,,,,,0.3,0.03,,,,,,,0.27,0,,,23,0
A06,Absolute Quantification,ABS,M12_T3_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.43,0,0,8153,0,0,1,8152,0,8153,,,,,,,,,,,,,,,,,,1,1,7000,0,3930.1,3930.1,,,,,0.2,0,,,,,,,,,,,,
B01,Absolute Quantification,ABS,M8_T3_1.2,Ch1Unknown,CARP,Manual,5.3,ddPCR Supermix for Probes,106,,,6.8,4,57,12724,5,52,261,12463,0.36,12781,,,,,,,,0.21,,,0.27,0.15,17.5,,,21.7,13.4,1,1,7000,8124.1,3602.6,3622.7,,,,,6,4.6,,,,,,,0.244,0.182,,,19.6,15.4
B02,Absolute Quantification,ABS,M8_T3_1.2,Ch1Unknown,CARP,Manual,5.5,ddPCR Supermix for Probes,110,,,7.3,4,42,8967,2,40,226,8741,0.126,9009,,,,,,,,0.18,,,0.24,0.12,15.4,,,19.7,11.1,1,1,7000,8536.4,3839.7,3861.6,,,,,6.4,4.7,,,,,,,0.213,0.152,,,17.6,13.2
B03,Absolute Quantification,ABS,M8_T3_1.2,Ch1Unknown,CARP,Manual,5,ddPCR Supermix for Probes,100,,,6.6,3.6,43,10137,5,38,202,9935,0.489,10180,,,,,,,,0.21,,,0.27,0.14,17.1,,,21.8,12.4,1,1,7000,8203.7,3842.3,3860.7,,,,,5.8,4.3,,,,,,,0.241,0.172,,,19.5,14.7
B04,Absolute Quantification,ABS,M12_T3_1.2,Ch1Unknown,CARP,Manual,2.7,ddPCR Supermix for Probes,54,,,3.9,1.7,23,10194,0,23,81,10113,0,10217,,,,,,,,0.28,,,0.42,0.15,22,,,30,14,1,1,7000,8108.6,4253.5,4262.2,,,,,3.2,2.1,,,,,,,0.35,0.22,,,26.1,18
B05,Absolute Quantification,ABS,M12_T3_1.2,Ch1Unknown,CARP,Manual,1.7,ddPCR Supermix for Probes,34,,,2.6,1.1,20,13827,0,20,111,13716,0,13847,,,,,,,,0.18,,,0.27,0.09,15,,,21,9,1,1,7000,7921.3,4156.1,4161.6,,,,,2.11,1.35,,,,,,,0.223,0.136,,,18.4,12.1
B06,Absolute Quantification,ABS,M12_T3_1.2,Ch1Unknown,CARP,Manual,2.4,ddPCR Supermix for Probes,48,,,3.6,1.6,24,11519,1,23,112,11407,0.0789,11543,,,,,,,,0.21,,,0.31,0.12,17,,,24,11,1,1,7000,8085.9,4176.6,4184.7,,,,,2.98,1.98,,,,,,,0.259,0.164,,,20.7,14.2
C01,Absolute Quantification,ABS,M9_T3_0.4,Ch1Unknown,CARP,Manual,1,ddPCR Supermix for Probes,20,,,1.7,0.6,14,15949,0,14,91,15858,0,15963,,,,,,,,0.15,,,0.24,0.07,13,,,20,7,1,1,7000,8236.2,3686.4,3690.4,,,,,1.33,0.78,,,,,,,0.198,0.109,,,16.6,10
C02,Absolute Quantification,ABS,M9_T3_0.4,Ch1Unknown,CARP,Manual,1.1,ddPCR Supermix for Probes,22,,,2,0.6,10,10491,0,10,18,10473,0,10501,,,,,,,,0.56,,,0.99,0.12,36,,,54,18,1,1,7000,7166.9,3238.6,3242.3,,,,,1.52,0.8,,,,,,,0.78,0.34,,,45,27
C03,Absolute Quantification,ABS,M9_T3_0.4,Ch1Unknown,CARP,Manual,1.3,ddPCR Supermix for Probes,26,,,2.1,0.7,14,12567,0,14,87,12480,0,12581,,,,,,,,0.16,,,0.25,0.07,14,,,21,7,1,1,7000,8299.3,3833.7,3838.7,,,,,1.69,0.99,,,,,,,0.207,0.114,,,17.3,10.4
