Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M5_T1A_1.2,Ch1Unknown,CARP,Manual,19.1,ddPCR Supermix for Probes,382,,,21.9,16.4,185,11291,14,171,843,10448,0.0208,11476,,,,,,,,0.209,,,0.243,0.176,17.3,,,19.6,15,1,1,7000,8153.8,3709.1,3780.7,,,,,20.5,17.7,,,,,,,0.226,0.192,,,18.5,16.2
A02,Absolute Quantification,ABS,M5_T1A_1.2,Ch1Unknown,CARP,Manual,20.5,ddPCR Supermix for Probes,410,,,23.4,17.7,199,11303,18,181,883,10420,0.272,11502,,,,,,,,0.214,,,0.247,0.181,17.6,,,19.9,15.4,1,1,7000,8381.3,3828.4,3907.1,,,,,22,19.1,,,,,,,0.231,0.197,,,18.8,16.5
A03,Absolute Quantification,ABS,M5_T1A_1.2,Ch1Unknown,CARP,Manual,18.5,ddPCR Supermix for Probes,370,,,21.5,15.6,152,9582,9,143,719,8863,0,9734,,,,,,,,0.202,,,0.238,0.167,16.8,,,19.3,14.4,1,1,7000,8292,3819.5,3889.3,,,,,20,17,,,,,,,0.221,0.184,,,18.1,15.6
B01,Absolute Quantification,ABS,M5_T1A_0.4,Ch1Unknown,CARP,Manual,2.7,ddPCR Supermix for Probes,54,,,3.7,1.8,33,14625,2,31,314,14311,0.106,14658,,,,,,,,0.103,,,0.141,0.066,9.4,,,12.4,6.3,1,1,7000,8048,3660.2,3670.1,,,,,3.14,2.22,,,,,,,0.122,0.085,,,10.9,7.8
B02,Absolute Quantification,ABS,M5_T1A_0.4,Ch1Unknown,CARP,Manual,3.1,ddPCR Supermix for Probes,62,,,4.3,2.1,28,10767,3,25,258,10509,0.26,10795,,,,,,,,0.106,,,0.148,0.064,9.6,,,13,6.2,1,1,7000,8431.7,3779.1,3791.1,,,,,3.7,2.5,,,,,,,0.127,0.085,,,11.3,7.9
B03,Absolute Quantification,ABS,M5_T1A_0.4,Ch1Unknown,CARP,Manual,3.1,ddPCR Supermix for Probes,62,,,4.4,2,27,10333,0,27,201,10132,0,10360,,,,,,,,0.13,,,0.19,0.08,11.8,,,16,7.6,1,1,7000,8221.7,3755.7,3767.3,,,,,3.7,2.5,,,,,,,0.16,0.106,,,13.9,9.6
C01,Absolute Quantification,ABS,M6_T1A_1.2,Ch1Unknown,CARP,Manual,8.4,ddPCR Supermix for Probes,168,,,10,6.8,107,14872,5,102,503,14369,0.112,14979,,,,,,,,0.208,,,0.251,0.164,17.2,,,20.2,14.2,1,1,7000,7921.2,3695.4,3725.5,,,,,9.2,7.6,,,,,,,0.23,0.186,,,18.7,15.7
C02,Absolute Quantification,ABS,M6_T1A_1.2,Ch1Unknown,CARP,Manual,9.8,ddPCR Supermix for Probes,196,,,11.9,7.9,95,11394,4,91,409,10985,0.0627,11489,,,,,,,,0.23,,,0.28,0.18,18.5,,,21.9,15.1,1,1,7000,8390.5,3804.1,3842.1,,,,,10.8,8.8,,,,,,,0.253,0.201,,,20.2,16.8
C03,Absolute Quantification,ABS,M6_T1A_1.2,Ch1Unknown,CARP,Manual,7,ddPCR Supermix for Probes,140,,,9.3,5.2,44,7327,0,44,206,7121,0,7371,,,,,,,,0.21,,,0.28,0.14,17.4,,,22.2,12.7,1,1,7000,8181,3775.8,3802.1,,,,,8.2,6,,,,,,,0.246,0.176,,,19.8,15
D01,Absolute Quantification,ABS,M6_T1A_0.4,Ch1Unknown,CARP,Manual,3.6,ddPCR Supermix for Probes,72,,,4.8,2.6,42,13821,0,42,323,13498,0,13863,,,,,,,,0.129,,,0.17,0.087,11.4,,,14.7,8.1,1,1,7000,8230.5,3670.4,3684.2,,,,,4.1,3,,,,,,,0.15,0.108,,,13.1,9.7
