Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A07,Absolute Quantification,ABS,M5_T3_1.2,Ch1Unknown,CARP,Manual,3.6,ddPCR Supermix for Probes,72,,,4.8,2.6,44,14296,0,44,144,14152,0,14340,,,,,,,,0.3,,,0.41,0.2,23,,,29,17,1,1,7000,8208.8,3985.1,3998,,,,,4.2,3.1,,,,,,,0.36,0.25,,,26.4,20.3
A08,Absolute Quantification,ABS,M5_T3_1.2,Ch1Unknown,CARP,Manual,2.1,ddPCR Supermix for Probes,42,,,3,1.4,26,14731,0,26,196,14535,0,14757,,,,,,,,0.13,,,0.19,0.08,11.7,,,15.9,7.4,1,1,7000,8240.8,3992.4,3999.9,,,,,2.51,1.69,,,,,,,0.159,0.104,,,13.8,9.5
A09,Absolute Quantification,ABS,M5_T3_1.2,Ch1Unknown,CARP,Manual,1.5,ddPCR Supermix for Probes,30,,,2.3,0.9,17,13545,0,17,147,13398,0,13562,,,,,,,,0.12,,,0.17,0.06,10.3,,,15,5.6,1,1,7000,8182.9,3990.7,3996,,,,,1.86,1.15,,,,,,,0.145,0.086,,,12.7,7.9
A10,Absolute Quantification,ABS,M12_T3_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.29,0,0,12176,0,0,6,12170,0,12176,,,,,,,,,,,,,,,,,,1,1,7000,0,4014.2,4014.2,,,,,0.13,0,,,,,,,,,,,,
A11,Absolute Quantification,ABS,M12_T3_0.4,Ch1Unknown,CARP,Manual,0.17,ddPCR Supermix for Probes,3.4,,,0.54,0.03,2,14018,0,2,12,14006,0,14020,,,,,,,,0.17,,,0.44,0,14,,,34,0,1,1,7000,7926.2,3909.4,3910,,,,,0.32,0.07,,,,,,,0.3,0.03,,,24,5
A12,Absolute Quantification,ABS,M12_T3_0.4,Ch1Unknown,CARP,Manual,0.34,ddPCR Supermix for Probes,6.8,,,0.8,0.1,4,13939,0,4,18,13921,0,13943,,,,,,,,0.22,,,0.47,0,18,,,35,1,1,1,7000,8495.5,3990.8,3992.1,,,,,0.54,0.19,,,,,,,0.35,0.1,,,27,10
B07,Absolute Quantification,ABS,M6_T3_1.2,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.4,0.3,8,12817,0,8,89,12728,0,12825,,,,,,,,0.09,,,0.16,0.02,8,,,14,3,1,1,7000,8292.6,3927.5,3930.3,,,,,1.03,0.5,,,,,,,0.123,0.056,,,11,5.4
B08,Absolute Quantification,ABS,M6_T3_1.2,Ch1Unknown,CARP,Manual,1.3,ddPCR Supermix for Probes,26,,,2,0.7,14,13069,0,14,99,12970,0,13083,,,,,,,,0.14,,,0.22,0.06,12,,,18,6,1,1,7000,8286.9,4014,4018.5,,,,,1.63,0.95,,,,,,,0.181,0.101,,,15.5,9.3
B09,Absolute Quantification,ABS,M6_T3_1.2,Ch1Unknown,CARP,Manual,1.3,ddPCR Supermix for Probes,26,,,2.1,0.8,16,14405,0,16,128,14277,0,14421,,,,,,,,0.12,,,0.19,0.06,11,,,16,6,1,1,7000,8181.6,3926.7,3931.4,,,,,1.66,1.01,,,,,,,0.158,0.091,,,13.7,8.5
C07,Absolute Quantification,ABS,M2_T4_0.4,Ch1Unknown,CARP,Manual,1.9,ddPCR Supermix for Probes,38,,,2.8,1.1,19,11999,2,17,82,11917,0.184,12018,,,,,,,,0.23,,,0.34,0.11,18,,,26,11,1,1,7000,8207.9,4414.2,4420.2,,,,,2.32,1.47,,,,,,,0.28,0.17,,,22.2,14.6
C08,Absolute Quantification,ABS,M2_T4_0.4,Ch1Unknown,CARP,Manual,1.2,ddPCR Supermix for Probes,24,,,2,0.6,13,12945,0,13,82,12863,0,12958,,,,,,,,0.16,,,0.25,0.06,14,,,21,7,1,1,7000,8315.8,4506.7,4510.5,,,,,1.54,0.88,,,,,,,0.205,0.111,,,17.2,10.1
C09,Absolute Quantification,ABS,M2_T4_0.4,Ch1Unknown,CARP,Manual,1.4,ddPCR Supermix for Probes,28,,,2.2,0.8,17,14364,0,17,91,14273,0,14381,,,,,,,,0.19,,,0.28,0.09,16,,,23,9,1,1,7000,8339.9,4435.9,4440.5,,,,,1.76,1.08,,,,,,,0.236,0.137,,,19.2,12.2
