Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M9_T4_1.2,Ch1Unknown,CARP,Manual,0.18,ddPCR Supermix for Probes,3.6,,,0.88,0.01,1,6397,0,1,13,6384,0,6398,,,,,,,,0.08,,,0.26,0,7,,,23,0,1,1,7000,8046.6,3794.8,3795.4,,,,,0.46,0.05,,,,,,,0.16,0,,,15,0
A02,Absolute Quantification,ABS,M9_T4_1.2,Ch1Unknown,CARP,Manual,0.39,ddPCR Supermix for Probes,7.8,,,0.92,0.12,4,11999,0,4,16,11983,0,12003,,,,,,,,0.25,,,0.54,0,20,,,38,2,1,1,7000,8132.3,3792,3793.4,,,,,0.63,0.23,,,,,,,0.39,0.11,,,29,11
A03,Absolute Quantification,ABS,M9_T4_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.27,0,0,13181,0,0,22,13159,0,13181,,,,,,,,,,,,,,,,,,1,1,7000,0,3887.5,3887.5,,,,,0.12,0,,,,,,,,,,,,
A04,Absolute Quantification,ABS,M13_T1A_1.2,Ch1Unknown,CARP,Manual,24,ddPCR Supermix for Probes,480,,,27.4,20.6,187,9075,23,164,985,8090,0.385,9262,,,,,,,,0.177,,,0.205,0.149,15,,,17,13,1,1,7000,8442.2,3983.8,4073.8,,,,,25.8,22.2,,,,,,,0.191,0.163,,,16.1,14
A05,Absolute Quantification,ABS,M13_T1A_1.2,Ch1Unknown,CARP,Manual,28.2,ddPCR Supermix for Probes,564,,,31.7,24.7,251,10337,42,209,1265,9072,1.43,10588,,,,,,,,0.182,,,0.207,0.157,15.4,,,17.2,13.6,1,1,7000,8300.4,3971.6,4074.3,,,,,30,26.4,,,,,,,0.195,0.17,,,16.3,14.5
A06,Absolute Quantification,ABS,M13_T1A_1.2,Ch1Unknown,CARP,Manual,26.9,ddPCR Supermix for Probes,538,,,30.1,23.7,268,11578,26,242,1408,10170,0,11846,,,,,,,,0.177,,,0.2,0.154,15.1,,,16.7,13.4,1,1,7000,8356,4026.1,4124,,,,,28.6,25.3,,,,,,,0.189,0.166,,,15.9,14.2
A07,Absolute Quantification,ABS,M17_T1A_1.2,Ch1Unknown,CARP,Manual,22.9,ddPCR Supermix for Probes,458,,,26.4,19.5,173,8785,11,162,734,8051,0,8958,,,,,,,,0.225,,,0.262,0.187,18.3,,,20.8,15.9,1,1,7000,8408.4,4062.1,4146,,,,,24.7,21.2,,,,,,,0.244,0.206,,,19.6,17.1
A08,Absolute Quantification,ABS,M17_T1A_1.2,Ch1Unknown,CARP,Manual,31,ddPCR Supermix for Probes,620,,,34.7,27.2,263,9862,32,231,1033,8829,0.578,10125,,,,,,,,0.237,,,0.269,0.205,19.1,,,21.2,17.1,1,1,7000,8014.6,3874.1,3981.7,,,,,32.9,29.1,,,,,,,0.253,0.221,,,20.2,18.1
A09,Absolute Quantification,ABS,M17_T1A_1.2,Ch1Unknown,CARP,Manual,21.7,ddPCR Supermix for Probes,434,,,24.9,18.5,175,9404,25,150,908,8496,1.1,9579,,,,,,,,0.18,,,0.209,0.151,15.2,,,17.3,13.2,1,1,7000,8138.7,3976.9,4052.9,,,,,23.3,20.1,,,,,,,0.195,0.165,,,16.3,14.2
B01,Absolute Quantification,ABS,M9_T4_0.4,Ch1Unknown,CARP,Manual,0.12,ddPCR Supermix for Probes,2.4,,,0.56,0,1,10016,0,1,3,10013,0,10017,,,,,,,,0.3,,,1.2,0,25,,,75,0,1,1,7000,8234.4,3885.4,3885.8,,,,,0.29,0.03,,,,,,,0.75,0,,,49,1
