Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M15_T1A_0.4,Ch1Unknown,CARP,Manual,2.3,ddPCR Supermix for Probes,46,,,3.3,1.5,26,13497,0,26,257,13240,0,13523,,,,,,,,0.1,,,0.141,0.06,9.1,,,12.5,5.7,1,1,7000,7390.7,4126.7,4132.9,,,,,2.74,1.85,,,,,,,0.121,0.08,,,10.8,7.4
A02,Absolute Quantification,ABS,M15_T1A_0.4,Ch1Unknown,CARP,Manual,5.3,ddPCR Supermix for Probes,106,,,6.7,4.1,61,13518,0,61,611,12907,0,13579,,,,,,,,0.098,,,0.124,0.072,8.9,,,11.1,6.8,1,1,7000,8082.2,4387.9,4404.5,,,,,6,4.6,,,,,,,0.111,0.085,,,10,7.8
B01,Absolute Quantification,ABS,M15_T1A_0.4_2,Ch1Unknown,CARP,Manual,4,ddPCR Supermix for Probes,80,,,5.3,2.9,43,12649,0,43,335,12314,0,12692,,,,,,,,0.127,,,0.167,0.086,11.3,,,14.4,8.1,1,1,7000,9033,4102.7,4119.4,,,,,4.6,3.4,,,,,,,0.147,0.106,,,12.9,9.6
B02,Absolute Quantification,ABS,M15_T1A_0.4_2,Ch1Unknown,CARP,Manual,3.5,ddPCR Supermix for Probes,70,,,4.7,2.6,43,14303,1,42,384,13919,0,14346,,,,,,,,0.11,,,0.145,0.075,9.9,,,12.8,7.1,1,1,7000,9564,4417.7,4433.1,,,,,4.1,3,,,,,,,0.128,0.093,,,11.4,8.5
C01,Absolute Quantification,ABS,Negative_CTL,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.3,0,0,11719,0,0,0,11719,0,11719,,,,,,,,,,,,,,,,,,1,1,7000,0,3980.7,3980.7,,,,,0.14,0,,,,,,,,,,,,
C02,Absolute Quantification,ABS,Negative_CTL,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.22,0,0,16133,0,0,0,16133,0,16133,,,,,,,,,,,,,,,,,,1,1,7000,0,4351.1,4351.1,,,,,0.1,0,,,,,,,,,,,,
D01,Absolute Quantification,ABS,Negative_CTL,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.27,0,0,13269,0,0,0,13269,0,13269,,,,,,,,,,,,,,,,,,1,1,7000,0,4129.8,4129.8,,,,,0.12,0,,,,,,,,,,,,
D02,Absolute Quantification,ABS,Negative_CTL,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.26,0,0,13744,0,0,0,13744,0,13744,,,,,,,,,,,,,,,,,,1,1,7000,0,4309.9,4309.9,,,,,0.12,0,,,,,,,,,,,,
E01,Absolute Quantification,ABS,M15_T2_1.2,Ch1Unknown,CARP,Manual,0.17,ddPCR Supermix for Probes,3.4,,,0.53,0.03,2,14196,0,2,52,14144,0,14198,,,,,,,,0.038,,,0.098,0,3.7,,,9.2,0,1,1,7000,7048.2,4435.5,4435.9,,,,,0.32,0.07,,,,,,,0.067,0.009,,,6.4,1
E02,Absolute Quantification,ABS,M15_T2_1.2,Ch1Unknown,CARP,Manual,0.41,ddPCR Supermix for Probes,8.2,,,0.9,0.15,5,14244,0,5,150,14094,0,14249,,,,,,,,0.033,,,0.064,0.002,3.2,,,6.1,0.3,1,1,7000,7498.5,4673.8,4674.8,,,,,0.63,0.25,,,,,,,0.048,0.018,,,4.6,1.8
F01,Absolute Quantification,ABS,M15_T2_1.2_2,Ch1Unknown,CARP,Manual,12.3,ddPCR Supermix for Probes,246,,,14.2,10.3,147,14044,4,143,565,13479,0,14191,,,,,,,,0.254,,,0.301,0.208,20.3,,,23.2,17.4,1,1,7000,8888.4,4361.1,4408,,,,,13.3,11.2,,,,,,,0.278,0.231,,,21.8,18.8
F02,Absolute Quantification,ABS,M15_T2_1.2_2,Ch1Unknown,CARP,Manual,9.3,ddPCR Supermix for Probes,186,,,11.7,7.2,68,8576,1,67,248,8328,0,8644,,,,,,,,0.27,,,0.34,0.2,21.3,,,25.8,16.8,1,1,7000,8101.8,4019.5,4051.6,,,,,10.5,8.2,,,,,,,0.307,0.233,,,23.6,19
G01,Absolute Quantification,ABS,M15_T2_1.2_5,Ch1Unknown,CARP,Manual,3.1,ddPCR Supermix for Probes,62,,,4.2,2.3,41,15419,0,41,179,15240,0,15460,,,,,,,,0.23,,,0.31,0.15,19,,,24,13,1,1,7000,9546.5,4297.8,4311.7,,,,,3.64,2.66,,,,,,,0.267,0.189,,,21.2,16
G02,Absolute Quantification,ABS,M15_T2_1.2_5,Ch1Unknown,CARP,Manual,2.5,ddPCR Supermix for Probes,50,,,3.5,1.7,32,14988,1,31,169,14819,0.0506,15020,,,,,,,,0.19,,,0.26,0.12,16,,,21,11,1,1,7000,9639.1,4447.2,4458.3,,,,,2.98,2.09,,,,,,,0.223,0.151,,,18.3,13.2
H01,Absolute Quantification,ABS,M15_T2_1.2_10,Ch1Unknown,CARP,Manual,1.7,ddPCR Supermix for Probes,34,,,2.6,1,16,11390,0,16,40,11350,0,11406,,,,,,,,0.4,,,0.63,0.17,29,,,41,17,1,1,7000,9570.2,4353.5,4360.8,,,,,2.1,1.27,,,,,,,0.52,0.28,,,35,23
