Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M14_T2_1.2,Ch1Unknown,CARP,Manual,3,ddPCR Supermix for Probes,60,,,4.4,2,25,9720,2,23,261,9459,0.165,9745,,,,,,,,0.094,,,0.133,0.055,8.6,,,11.8,5.3,1,1,7000,8532,3764,3776.2,,,,,3.7,2.5,,,,,,,0.114,0.074,,,10.2,6.9
A02,Absolute Quantification,ABS,M14_T2_1.2,Ch1Unknown,CARP,Manual,5.2,ddPCR Supermix for Probes,104,,,6.7,3.9,54,12144,3,51,299,11845,0.165,12198,,,,,,,,0.18,,,0.23,0.13,15,,,18.8,11.3,1,1,7000,8315,3723.9,3744.3,,,,,6,4.5,,,,,,,0.203,0.151,,,16.9,13.2
A03,Absolute Quantification,ABS,M14_T2_1.2,Ch1Unknown,CARP,Manual,5.4,ddPCR Supermix for Probes,108,,,7,4,49,10709,3,46,261,10448,0.202,10758,,,,,,,,0.18,,,0.24,0.13,15.5,,,19.5,11.5,1,1,7000,8473.5,3870.4,3891.3,,,,,6.2,4.6,,,,,,,0.212,0.155,,,17.6,13.5
B01,Absolute Quantification,ABS,M14_T2_0.4,Ch1Unknown,CARP,Manual,3.1,ddPCR Supermix for Probes,62,,,4.2,2.2,36,13852,0,36,236,13616,0,13888,,,,,,,,0.15,,,0.2,0.1,13.2,,,17.2,9.1,1,1,7000,8475.1,3733.6,3745.9,,,,,3.6,2.6,,,,,,,0.179,0.124,,,15.2,11.1
B02,Absolute Quantification,ABS,M14_T2_0.4,Ch1Unknown,CARP,Manual,2.1,ddPCR Supermix for Probes,42,,,3.1,1.4,23,12800,0,23,210,12590,0,12823,,,,,,,,0.109,,,0.156,0.062,9.8,,,13.6,6,1,1,7000,8389,3754,3762.3,,,,,2.58,1.7,,,,,,,0.133,0.085,,,11.7,7.9
B03,Absolute Quantification,ABS,M14_T2_0.4,Ch1Unknown,CARP,Manual,3,ddPCR Supermix for Probes,60,,,4.2,2,29,11326,0,29,218,11108,0,11355,,,,,,,,0.13,,,0.18,0.08,11.7,,,15.7,7.6,1,1,7000,8526.6,3878.3,3890.2,,,,,3.6,2.5,,,,,,,0.158,0.106,,,13.7,9.6
C01,Absolute Quantification,ABS,M15_T2_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.29,0,0,12289,0,0,11,12278,0,12289,,,,,,,,,,,,,,,,,,1,1,7000,0,4074.3,4074.3,,,,,0.13,0,,,,,,,,,,,,
C02,Absolute Quantification,ABS,M15_T2_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.25,0,0,14311,0,0,56,14255,0,14311,,,,,,,,,,,,,,,,,,1,1,7000,0,4044.8,4044.8,,,,,0.11,0,,,,,,,,,,,,
C03,Absolute Quantification,ABS,M15_T2_1.2,Ch1Unknown,CARP,Manual,0.09,ddPCR Supermix for Probes,1.8,,,0.45,0,1,12611,0,1,62,12549,0,12612,,,,,,,,0.016,,,0.054,0,1.6,,,5.3,0,1,1,7000,7708.4,4145.4,4145.7,,,,,0.23,0.03,,,,,,,0.034,0,,,3.3,0
D01,Absolute Quantification,ABS,M15_T2_0.4,Ch1Unknown,CARP,Manual,3.7,ddPCR Supermix for Probes,74,,,5,2.7,40,12688,0,40,289,12399,0,12728,,,,,,,,0.137,,,0.183,0.091,12.1,,,15.6,8.5,1,1,7000,8481.7,3780.6,3795.4,,,,,4.3,3.1,,,,,,,0.16,0.114,,,13.8,10.3
