Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M9_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.25,0,0,14351,0,0,0,14351,0,14351,,,,,,,,,,,,,,,,,,1,1,7000,0,4209,4209,,,,,0.11,0,,,,,,,,,,,,
A02,Absolute Quantification,ABS,M9_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.26,0,0,13515,0,0,0,13515,0,13515,,,,,,,,,,,,,,,,,,1,1,7000,0,4287.3,4287.3,,,,,0.12,0,,,,,,,,,,,,
A03,Absolute Quantification,ABS,M9_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.33,0,0,10767,0,0,0,10767,0,10767,,,,,,,,,,,,,,,,,,1,1,7000,0,4344.3,4344.3,,,,,0.15,0,,,,,,,,,,,,
B01,Absolute Quantification,ABS,M10_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.26,0,0,13316,0,0,0,13316,0,13316,,,,,,,,,,,,,,,,,,1,1,7000,0,4280.5,4280.5,,,,,0.12,0,,,,,,,,,,,,
B02,Absolute Quantification,ABS,M10_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.29,0,0,11962,0,0,0,11962,0,11962,,,,,,,,,,,,,,,,,,1,1,7000,0,4355.3,4355.3,,,,,0.13,0,,,,,,,,,,,,
B03,Absolute Quantification,ABS,M10_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.27,0,0,12863,0,0,0,12863,0,12863,,,,,,,,,,,,,,,,,,1,1,7000,0,4362.2,4362.2,,,,,0.13,0,,,,,,,,,,,,
C01,Absolute Quantification,ABS,M11_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.32,0,0,11100,0,0,1,11099,0,11100,,,,,,,,,,,,,,,,,,1,1,7000,0,4262.3,4262.3,,,,,0.15,0,,,,,,,,,,,,
C02,Absolute Quantification,ABS,M11_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.3,0,0,11589,0,0,0,11589,0,11589,,,,,,,,,,,,,,,,,,1,1,7000,0,4336.1,4336.1,,,,,0.14,0,,,,,,,,,,,,
C03,Absolute Quantification,ABS,M11_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.25,0,0,14220,0,0,1,14219,0,14220,,,,,,,,,,,,,,,,,,1,1,7000,0,4370.6,4370.6,,,,,0.11,0,,,,,,,,,,,,
D01,Absolute Quantification,ABS,M12_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.29,0,0,12155,0,0,0,12155,0,12155,,,,,,,,,,,,,,,,,,1,1,7000,0,4386.9,4386.9,,,,,0.13,0,,,,,,,,,,,,
D02,Absolute Quantification,ABS,M12_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.28,0,0,12374,0,0,0,12374,0,12374,,,,,,,,,,,,,,,,,,1,1,7000,0,4347.1,4347.1,,,,,0.13,0,,,,,,,,,,,,
D03,Absolute Quantification,ABS,M12_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.25,0,0,13905,0,0,0,13905,0,13905,,,,,,,,,,,,,,,,,,1,1,7000,0,4457.7,4457.7,,,,,0.12,0,,,,,,,,,,,,
E01,Absolute Quantification,ABS,M13_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.3,0,0,11873,0,0,0,11873,0,11873,,,,,,,,,,,,,,,,,,1,1,7000,0,4199.9,4199.9,,,,,0.14,0,,,,,,,,,,,,
E02,Absolute Quantification,ABS,M13_BKD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.38,0,0,9389,0,0,0,9389,0,9389,,,,,,,,,,,,,,,,,,1,1,7000,0,4306.3,4306.3,,,,,0.17,0,,,,,,,,,,,,
