Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M4_T3_1.2,Ch1Unknown,CARP,Manual,5.4,ddPCR Supermix for Probes,108,,,7.2,4,46,9918,0,46,251,9667,0,9964,,,,,,,,0.18,,,0.24,0.12,15.4,,,19.5,11.2,1,1,6500,7815.3,4721.1,4735.4,,,,,6.3,4.7,,,,,,,0.21,0.152,,,17.4,13.3
A02,Absolute Quantification,ABS,M4_T3_1.2,Ch1Unknown,CARP,Manual,5,ddPCR Supermix for Probes,100,,,6.4,3.7,54,12780,0,54,304,12476,0,12834,,,,,,,,0.18,,,0.23,0.12,15,,,18.7,11.3,1,1,6500,7628,4506.4,4519.5,,,,,5.7,4.3,,,,,,,0.202,0.15,,,16.8,13.1
A03,Absolute Quantification,ABS,M4_T3_1.2,Ch1Unknown,CARP,Manual,5.4,ddPCR Supermix for Probes,108,,,7.2,4,45,9740,0,45,218,9522,0,9785,,,,,,,,0.2,,,0.27,0.14,17,,,21.5,12.4,1,1,6500,7743.6,4571.2,4585.8,,,,,6.3,4.7,,,,,,,0.238,0.171,,,19.3,14.7
A04,Absolute Quantification,ABS,M2_T4_1.2,Ch1Unknown,CARP,Manual,0.43,ddPCR Supermix for Probes,8.6,,,0.94,0.15,5,13566,0,5,47,13519,0,13571,,,,,,,,0.11,,,0.21,0,10,,,18,1,1,1,7000,9310.6,4368.9,4370.7,,,,,0.66,0.27,,,,,,,0.16,0.06,,,13.7,5.5
A05,Absolute Quantification,ABS,M2_T4_1.2,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.3,0.3,7,11948,0,7,43,11905,0,11955,,,,,,,,0.16,,,0.3,0.03,14,,,24,4,1,1,7000,9229.1,4407.1,4409.9,,,,,0.99,0.46,,,,,,,0.23,0.1,,,18.9,9
A06,Absolute Quantification,ABS,M2_T4_1.2,Ch1Unknown,CARP,Manual,0.9,ddPCR Supermix for Probes,18,,,1.6,0.5,10,12959,0,10,47,12912,0,12969,,,,,,,,0.21,,,0.36,0.06,18,,,28,7,1,1,7000,9485.3,4577.7,4581.5,,,,,1.23,0.65,,,,,,,0.29,0.14,,,23,12
A07,Absolute Quantification,ABS,M6_T4_1.2,Ch1Unknown,CARP,Manual,0.22,ddPCR Supermix for Probes,4.4,,,0.71,0.03,2,10624,0,2,68,10556,0,10626,,,,,,,,0.029,,,0.075,0,2.8,,,7.1,0,1,1,7000,9209.6,4428.3,4429.2,,,,,0.43,0.1,,,,,,,0.051,0.007,,,4.9,0.8
A08,Absolute Quantification,ABS,M6_T4_1.2,Ch1Unknown,CARP,Manual,0.59,ddPCR Supermix for Probes,11.8,,,1.2,0.23,6,11977,0,6,74,11903,0,11983,,,,,,,,0.08,,,0.15,0.01,7,,,13,2,1,1,7000,9470.2,4509.2,4511.7,,,,,0.87,0.38,,,,,,,0.116,0.046,,,10.5,4.5
A09,Absolute Quantification,ABS,M6_T4_1.2,Ch1Unknown,CARP,Manual,0.6,ddPCR Supermix for Probes,12,,,1.3,0.2,4,8230,0,4,56,8174,0,8234,,,,,,,,0.07,,,0.15,0,7,,,13,0,1,1,7000,9117,4638.4,4640.6,,,,,0.91,0.33,,,,,,,0.109,0.034,,,9.9,3.4
B01,Absolute Quantification,ABS,M4_T3_0.4,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.4,0.2,5,8833,0,5,42,8791,0,8838,,,,,,,,0.12,,,0.23,0,11,,,20,2,1,1,7000,9174.7,4625.8,4628.4,,,,,1.01,0.41,,,,,,,0.18,0.06,,,15.2,6.1
