Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,BKT1_STHD_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.36,0,0,9721,0,0,3712,6009,0,9721,,,,,,,,,,,,,,,,,,1,1,7000,0,4068.4,4068.4,,,,,0.17,0,,,,,,,,,,,,
A02,Absolute Quantification,ABS,BKT1_STHD_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.27,0,0,13230,0,0,5056,8174,0,13230,,,,,,,,,,,,,,,,,,1,1,7000,0,4079.4,4079.4,,,,,0.12,0,,,,,,,,,,,,
A03,Absolute Quantification,ABS,BKT1_STHD_1.2,Ch1Unknown,CARP,Manual,0.09,ddPCR Supermix for Probes,1.8,,,0.44,0,1,12700,1,0,5148,7552,0.0926,12701,,,,,,,,0.00015,,,0.00051,0,0.015,,,0.051,0,1,1,7000,8996.6,4268.2,4268.6,,,,,0.23,0.03,,,,,,,0.00032,0,,,0.032,0
B01,Absolute Quantification,ABS,BKT1_STHD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.42,0,0,8310,0,0,2042,6268,0,8310,,,,,,,,,,,,,,,,,,1,1,7000,0,4020,4020,,,,,0.19,0,,,,,,,,,,,,
B02,Absolute Quantification,ABS,BKT1_STHD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.29,0,0,12262,0,0,2642,9620,0,12262,,,,,,,,,,,,,,,,,,1,1,7000,0,4065.7,4065.7,,,,,0.13,0,,,,,,,,,,,,
B03,Absolute Quantification,ABS,BKT1_STHD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.31,0,0,11556,0,0,3199,8357,0,11556,,,,,,,,,,,,,,,,,,1,1,7000,0,4266.5,4266.5,,,,,0.14,0,,,,,,,,,,,,
C01,Absolute Quantification,ABS,BKT2_STHD_1.2,Ch1Unknown,CARP,Manual,0.13,ddPCR Supermix for Probes,2.6,,,0.61,0.01,1,9165,1,0,4980,4185,0.128,9166,,,,,,,,0.00014,,,0.00047,0,0.014,,,0.047,0,1,1,7000,8328.8,4070.6,4071.1,,,,,0.32,0.03,,,,,,,0.00029,0,,,0.029,0
C02,Absolute Quantification,ABS,BKT2_STHD_1.2,Ch1Unknown,CARP,Manual,0.1,ddPCR Supermix for Probes,2,,,0.46,0,1,12155,1,0,5884,6271,0.0968,12156,,,,,,,,0.00012,,,0.00042,0,0.012,,,0.042,0,1,1,7000,9284.3,4179.6,4180,,,,,0.24,0.03,,,,,,,0.00026,0,,,0.026,0
C03,Absolute Quantification,ABS,BKT2_STHD_1.2,Ch1Unknown,CARP,Manual,0.18,ddPCR Supermix for Probes,3.6,,,0.57,0.03,2,13298,1,1,7647,5651,0,13300,,,,,,,,0.00018,,,0.00044,0,0.018,,,0.044,0,1,1,7000,8794.1,4313.1,4313.8,,,,,0.34,0.08,,,,,,,0.00031,4.00E-05,,,0.031,0.004
D01,Absolute Quantification,ABS,BKT2_STHD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.31,0,0,11518,0,0,3585,7933,0,11518,,,,,,,,,,,,,,,,,,1,1,7000,0,4024.5,4024.5,,,,,0.14,0,,,,,,,,,,,,
