Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
D02,Absolute Quantification,ABS,M20_T1A_0.4,Ch2Unknown,STHD,Manual,53,ddPCR Supermix for Probes,1060,,,58,47,366,8017,3,51,363,7966,0.0949,8383,,,,,,,,0.145,,,0.186,0.103,12.6,,,15.8,9.5,1,1,4500,5502.8,1017.3,1213.1,,,,,55.3,49.8,,,,,,,0.166,0.124,,,14.3,11
D03,Absolute Quantification,ABS,M20_T1A_0.4,Ch2Unknown,STHD,Manual,56.2,ddPCR Supermix for Probes,1124,,,60.6,51.8,622,12720,5,75,617,12645,0.118,13342,,,,,,,,0.126,,,0.155,0.097,11.2,,,13.5,8.9,1,1,4500,5301.7,983.56,1184.9,,,,,58.4,53.9,,,,,,,0.141,0.111,,,12.4,10
E01,Absolute Quantification,ABS,M22_T2_1.2,Ch2Unknown,STHD,Manual,15.2,ddPCR Supermix for Probes,304,,,18.5,12.3,93,7162,1,13,92,7149,0.135,7255,,,,,,,,0.15,,,0.24,0.06,13,,,19,7,1,1,4500,5203.3,973.36,1027.6,,,,,16.8,13.7,,,,,,,0.193,0.107,,,16.3,9.8
E02,Absolute Quantification,ABS,M22_T2_1.2,Ch2Unknown,STHD,Manual,14.2,ddPCR Supermix for Probes,284,,,16.5,11.9,143,11793,1,25,142,11768,0.0688,11936,,,,,,,,0.18,,,0.26,0.1,15,,,21,10,1,1,4500,5493.6,1033.6,1087,,,,,15.4,13,,,,,,,0.219,0.142,,,18.1,12.6
E03,Absolute Quantification,ABS,M22_T2_1.2,Ch2Unknown,STHD,Manual,14.7,ddPCR Supermix for Probes,294,,,17,12.5,161,12771,3,26,158,12745,0.244,12932,,,,,,,,0.18,,,0.25,0.11,15,,,20,10,1,1,4500,5297.8,989.45,1043.1,,,,,15.9,13.6,,,,,,,0.215,0.143,,,17.8,12.6
F01,Absolute Quantification,ABS,M20_T3_0.4,Ch2Unknown,STHD,Manual,0.34,ddPCR Supermix for Probes,6.8,,,0.79,0.1,4,14045,0,2,4,14043,0,14049,,,,,,,,0.5,,,1.4,0,33,,,74,0,1,1,4500,5612.8,1004.8,1006.1,,,,,0.54,0.19,,,,,,,0.95,0.05,,,53,13
F02,Absolute Quantification,ABS,M20_T3_0.4,Ch2Unknown,STHD,Manual,0.46,ddPCR Supermix for Probes,9.2,,,1.08,0.14,4,10287,0,0,4,10287,0,10291,,,,,,,,,,,,,,,,,,1,1,4500,5400.6,1006,1007.7,,,,,0.73,0.26,,,,,,,,,,,,
F03,Absolute Quantification,ABS,M20_T3_0.4,Ch2Unknown,STHD,Manual,0.28,ddPCR Supermix for Probes,5.6,,,0.74,0.07,3,12586,0,1,3,12585,0,12589,,,,,,,,0.3,,,1.2,0,25,,,75,0,1,1,4500,5379.4,1001.3,1002.4,,,,,0.48,0.15,,,,,,,0.75,0,,,49,1
G01,Absolute Quantification,ABS,M9_T4_1.2,Ch2Unknown,STHD,Manual,2,ddPCR Supermix for Probes,40,,,2.9,1.3,27,15774,0,2,27,15772,0,15801,,,,,,,,0.07,,,0.19,0,7,,,17,0,1,1,4500,5582.9,1020.1,1027.9,,,,,2.42,1.65,,,,,,,0.13,0.02,,,11.8,2
G02,Absolute Quantification,ABS,M9_T4_1.2,Ch2Unknown,STHD,Manual,1.3,ddPCR Supermix for Probes,26,,,2.2,0.7,12,10811,0,1,12,10810,0,10823,,,,,,,,0.08,,,0.29,0,8,,,25,0,1,1,4500,5432.4,1015.1,1020,,,,,1.72,0.96,,,,,,,0.18,0,,,16,0
G03,Absolute Quantification,ABS,M9_T4_1.2,Ch2Unknown,STHD,Manual,1.8,ddPCR Supermix for Probes,36,,,2.8,1.1,18,11807,0,2,18,11805,0,11825,,,,,,,,0.11,,,0.29,0,10,,,24,0,1,1,4500,5325.9,995.81,1002.4,,,,,2.25,1.4,,,,,,,0.2,0.02,,,17,3
H01,Absolute Quantification,ABS,M11_T4_0.4,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,0.31,0,0,11436,0,0,0,11436,0,11436,,,,,,,,,,,,,,,,,,1,1,4500,0,1010.3,1010.3,,,,,0.14,0,,,,,,,,,,,,
H02,Absolute Quantification,ABS,M11_T4_0.4,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,0.32,0,0,11118,0,0,0,11118,0,11118,,,,,,,,,,,,,,,,,,1,1,4500,0,987.99,987.99,,,,,0.14,0,,,,,,,,,,,,
H03,Absolute Quantification,ABS,M11_T4_0.4,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,0.21,0,0,16401,0,0,0,16401,0,16401,,,,,,,,,,,,,,,,,,1,1,4500,0,1010.6,1010.6,,,,,0.098,0,,,,,,,,,,,,
A04,Absolute Quantification,ABS,M15_T4_1.2,Ch2Unknown,STHD,Manual,9.9,ddPCR Supermix for Probes,198,,,11.7,8.2,119,14015,0,13,119,14002,0,14134,,,,,,,,0.11,,,0.17,0.05,10,,,15,5,1,1,4500,4729.9,1136,1166.2,,,,,10.9,9,,,,,,,0.141,0.077,,,12.4,7.2
B04,Absolute Quantification,ABS,M15_T4_1.2,Ch2Unknown,STHD,Manual,5.1,ddPCR Supermix for Probes,102,,,6.6,3.9,57,13103,0,15,57,13088,0,13160,,,,,,,,0.26,,,0.41,0.11,21,,,30,11,1,1,4500,4701.4,1165.6,1180.9,,,,,5.8,4.5,,,,,,,0.34,0.19,,,25.6,16
C04,Absolute Quantification,ABS,M15_T4_1.2,Ch2Unknown,STHD,Manual,3.4,ddPCR Supermix for Probes,68,,,4.6,2.4,38,13034,0,8,38,13026,0,13072,,,,,,,,0.21,,,0.37,0.05,17,,,29,6,1,1,4500,4709.4,1155.3,1165.6,,,,,4,2.9,,,,,,,0.29,0.13,,,23,12
D04,Absolute Quantification,ABS,Positive_CTL,Ch2Unknown,STHD,Manual,76.8,ddPCR Supermix for Probes,1536,,,81.7,71.9,942,13972,87,1081,855,12891,1.21,14914,,,,,,,,1.25,,,1.36,1.14,55.6,,,57.7,53.4,1,1,4500,5702.2,1118.1,1407.7,,,,,79.3,74.3,,,,,,,1.3,1.2,,,56.6,54.5
E04,Absolute Quantification,ABS,Positive_CTL,Ch2Unknown,STHD,Manual,70,ddPCR Supermix for Probes,1400,,,74.8,65.2,817,13323,40,681,777,12642,0,14140,,,,,,,,0.88,,,0.97,0.79,46.8,,,49.3,44.3,1,1,4500,5545.9,1077,1335.2,,,,,72.5,67.6,,,,,,,0.924,0.834,,,48.1,45.5
F04,Absolute Quantification,ABS,Negative_CTL,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,0.26,0,0,13587,0,0,0,13587,0,13587,,,,,,,,,,,,,,,,,,1,1,4500,0,1012.8,1012.8,,,,,0.12,0,,,,,,,,,,,,
G04,Absolute Quantification,ABS,Negative_CTL,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,0.26,0,0,13523,0,0,0,13523,0,13523,,,,,,,,,,,,,,,,,,1,1,4500,0,1022,1022,,,,,0.12,0,,,,,,,,,,,,
H04,Absolute Quantification,ABS,Negative_CTL,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,0.33,0,0,10715,0,0,0,10715,0,10715,,,,,,,,,,,,,,,,,,1,1,4500,0,982.08,982.08,,,,,0.15,0,,,,,,,,,,,,
