Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M1_T1A_1.2,Ch1Unknown,CARP,Manual,18.3,ddPCR Supermix for Probes,366,,,20.9,15.6,185,11833,30,155,663,11170,2.04,12018,,,,,,,,0.261,,,0.304,0.219,20.7,,,23.4,18,1,1,7000,8459.6,3846.1,3917.1,,,,,19.6,16.9,,,,,,,0.283,0.24,,,22.1,19.4
A02,Absolute Quantification,ABS,M1_T1A_1.2,Ch1Unknown,CARP,Manual,17.3,ddPCR Supermix for Probes,346,,,19.7,14.8,191,12922,37,154,668,12254,2.57,13113,,,,,,,,0.266,,,0.308,0.223,21,,,23.6,18.3,1,1,7000,8634.5,3957.2,4025.3,,,,,18.5,16,,,,,,,0.287,0.244,,,22.3,19.6
A03,Absolute Quantification,ABS,M1_T1A_1.2,Ch1Unknown,CARP,Manual,17,ddPCR Supermix for Probes,340,,,19.4,14.7,197,13511,42,155,689,12822,2.89,13708,,,,,,,,0.264,,,0.306,0.223,20.9,,,23.5,18.3,1,1,7000,8494.4,3953.6,4018.9,,,,,18.2,15.8,,,,,,,0.285,0.243,,,22.2,19.6
B01,Absolute Quantification,ABS,M2_T1A_1.2,Ch1Unknown,CARP,Manual,26.3,ddPCR Supermix for Probes,526,,,29.7,23,239,10555,25,214,1056,9499,0.132,10794,,,,,,,,0.212,,,0.242,0.182,17.5,,,19.5,15.5,1,1,7000,8672.3,3890.1,3996,,,,,28,24.6,,,,,,,0.227,0.197,,,18.5,16.5
B02,Absolute Quantification,ABS,M2_T1A_1.2,Ch1Unknown,CARP,Manual,28,ddPCR Supermix for Probes,560,,,31.4,24.7,277,11482,44,233,1270,10212,1.5,11759,,,,,,,,0.201,,,0.227,0.175,16.7,,,18.6,14.9,1,1,7000,8680.9,3963.8,4074.9,,,,,29.7,26.4,,,,,,,0.214,0.188,,,17.7,15.8
B03,Absolute Quantification,ABS,M2_T1A_1.2,Ch1Unknown,CARP,Manual,27.6,ddPCR Supermix for Probes,552,,,30.8,24.4,290,12222,24,266,1311,10911,0,12512,,,,,,,,0.208,,,0.234,0.181,17.2,,,19,15.4,1,1,7000,8562.3,3963.8,4070.4,,,,,29.2,26,,,,,,,0.221,0.194,,,18.1,16.3
C01,Absolute Quantification,ABS,M3_T1A_1.2,Ch1Unknown,CARP,Manual,13.9,ddPCR Supermix for Probes,278,,,16.2,11.6,137,11541,21,116,469,11072,1.62,11678,,,,,,,,0.28,,,0.33,0.22,21.6,,,24.8,18.4,1,1,7000,8816.4,4015.6,4071.9,,,,,15.1,12.7,,,,,,,0.302,0.249,,,23.2,20
C02,Absolute Quantification,ABS,M3_T1A_1.2,Ch1Unknown,CARP,Manual,15.4,ddPCR Supermix for Probes,308,,,17.7,13,165,12546,28,137,531,12015,2.03,12711,,,,,,,,0.29,,,0.34,0.24,22.5,,,25.5,19.5,1,1,7000,8748.6,4034.7,4095.9,,,,,16.6,14.2,,,,,,,0.316,0.265,,,24.1,21
C03,Absolute Quantification,ABS,M3_T1A_1.2,Ch1Unknown,CARP,Manual,14.8,ddPCR Supermix for Probes,296,,,17.2,12.5,157,12362,28,129,535,11827,2.08,12519,,,,,,,,0.274,,,0.323,0.226,21.5,,,24.5,18.5,1,1,7000,8528.5,4010.8,4067.4,,,,,16,13.7,,,,,,,0.299,0.25,,,23,20
D01,Absolute Quantification,ABS,M4_T1A_1.2,Ch1Unknown,CARP,Manual,28.7,ddPCR Supermix for Probes,574,,,32.1,25.2,267,10822,41,226,1184,9638,1.41,11089,,,,,,,,0.208,,,0.236,0.181,17.2,,,19.1,15.3,1,1,7000,8839.1,4102.1,4216.2,,,,,30.4,26.9,,,,,,,0.222,0.194,,,18.2,16.3
D02,Absolute Quantification,ABS,M4_T1A_1.2,Ch1Unknown,CARP,Manual,29.4,ddPCR Supermix for Probes,588,,,32.9,26,278,10978,47,231,1185,9793,1.99,11256,,,,,,,,0.216,,,0.244,0.188,17.7,,,19.6,15.8,1,1,7000,8814.5,4165.1,4279.9,,,,,31.2,27.7,,,,,,,0.23,0.201,,,18.7,16.8
D03,Absolute Quantification,ABS,M4_T1A_1.2,Ch1Unknown,CARP,Manual,28.8,ddPCR Supermix for Probes,576,,,32.4,25.2,249,10056,25,224,1070,8986,0,10305,,,,,,,,0.218,,,0.248,0.188,17.9,,,19.9,15.9,1,1,7000,8677,4154.4,4263.6,,,,,30.6,27,,,,,,,0.233,0.202,,,18.9,16.8
E01,Absolute Quantification,ABS,M1_T1A_0.4,Ch1Unknown,CARP,Manual,6.3,ddPCR Supermix for Probes,126,,,7.9,4.9,69,12830,4,65,465,12365,0.142,12899,,,,,,,,0.145,,,0.182,0.108,12.6,,,15.5,9.8,1,1,7000,8733.6,3882.1,3908.1,,,,,7.1,5.6,,,,,,,0.163,0.126,,,14.1,11.2
E02,Absolute Quantification,ABS,M1_T1A_0.4,Ch1Unknown,CARP,Manual,5.8,ddPCR Supermix for Probes,116,,,7.3,4.4,61,12408,2,59,416,11992,0,12469,,,,,,,,0.144,,,0.183,0.105,12.6,,,15.5,9.6,1,1,7000,8682,4009.9,4032.8,,,,,6.5,5.1,,,,,,,0.164,0.124,,,14.1,11.1
E03,Absolute Quantification,ABS,M1_T1A_0.4,Ch1Unknown,CARP,Manual,5.1,ddPCR Supermix for Probes,102,,,6.5,3.8,53,12317,1,52,469,11848,0,12370,,,,,,,,0.111,,,0.142,0.079,10,,,12.5,7.4,1,1,7000,8721.1,4052.4,4072.4,,,,,5.8,4.4,,,,,,,0.127,0.095,,,11.3,8.7
F01,Absolute Quantification,ABS,M2_T1A_0.4,Ch1Unknown,CARP,Manual,0.18,ddPCR Supermix for Probes,3.6,,,0.56,0.03,2,13366,0,2,13,13353,0,13368,,,,,,,,0.15,,,0.4,0,13,,,32,0,1,1,7000,8968.6,3882.1,3882.9,,,,,0.34,0.08,,,,,,,0.28,0.03,,,23,4
F02,Absolute Quantification,ABS,M2_T1A_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.26,0,0,13810,0,0,13,13797,0,13810,,,,,,,,,,,,,,,,,,1,1,7000,0,3949,3949,,,,,0.12,0,,,,,,,,,,,,
