Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,BKT1_CARP_1.2_2,Ch1Unknown,CARP,Manual,60.5,ddPCR Supermix for Probes,1210,,,65.5,55.5,568,10761,1,567,2,10759,0.0929,11329,,,,,,,,190,,,430,0,99.5,,,100.1,98.9,1,1,7000,8483,3738.2,3976.1,,,,,63.1,58,,,,,,,310,80,,,99.79,99.18
A02,Absolute Quantification,ABS,BKT1_CARP_1.2_2,Ch1Unknown,CARP,Manual,59.2,ddPCR Supermix for Probes,1184,,,63.6,54.9,707,13697,1,706,7,13690,0.0522,14404,,,,,,,,90,,,160,30,98.9,,,99.7,98.1,1,1,7000,8587.8,3855.4,4087.7,,,,,61.4,57,,,,,,,123,58,,,99.3,98.52
A03,Absolute Quantification,ABS,BKT1_CARP_1.2_2,Ch1Unknown,CARP,Manual,54.7,ddPCR Supermix for Probes,1094,,,58.8,50.7,707,14845,0,707,9,14836,0,15552,,,,,,,,80,,,130,30,98.8,,,99.6,98,1,1,7000,8537.5,3866.2,4078.5,,,,,56.8,52.7,,,,,,,108,53,,,99.18,98.36
B01,Absolute Quantification,ABS,BKT1_CARP_0.4_2,Ch1Unknown,CARP,Manual,39.6,ddPCR Supermix for Probes,792,,,43.3,35.9,438,12791,0,438,0,12791,0,13229,,,,,,,,,,,,,,,,,,1,1,7000,8103.9,3581.1,3730.8,,,,,41.5,37.7,,,,,,,,,,,,
B02,Absolute Quantification,ABS,BKT1_CARP_0.4_2,Ch1Unknown,CARP,Manual,0.28,ddPCR Supermix for Probes,5.6,,,0.9,0.04,2,8336,0,2,0,8336,0,8338,,,,,,,,,,,,,,,,,,1,1,7000,7113,3118.1,3119.1,,,,,0.54,0.12,,,,,,,,,,,,
B03,Absolute Quantification,ABS,BKT1_CARP_0.4_2,Ch1Unknown,CARP,Manual,33.5,ddPCR Supermix for Probes,670,,,36.9,30.1,370,12824,0,370,2,12822,0,13194,,,,,,,,190,,,470,0,99.5,,,100.3,98.7,1,1,7000,8326.5,3784.8,3912.2,,,,,35.2,31.7,,,,,,,330,50,,,99.86,99.08
C01,Absolute Quantification,ABS,BKT2_CARP_1.2_2,Ch1Unknown,CARP,Manual,77,ddPCR Supermix for Probes,1540,,,82,71,862,12820,0,862,2,12818,0,13682,,,,,,,,400,,,1100,0,99.78,,,100.12,99.43,1,1,7000,8819.7,3904.5,4214.2,,,,,79.2,74,,,,,,,780,110,,,99.94,99.61
C02,Absolute Quantification,ABS,BKT2_CARP_1.2_2,Ch1Unknown,CARP,Manual,79,ddPCR Supermix for Probes,1580,,,85,73,674,9727,3,671,1,9726,0.332,10401,,,,,,,,170,,,350,0,99.4,,,100,98.8,1,1,7000,8812.3,4003.9,4315.5,,,,,81.9,75.8,,,,,,,260,80,,,99.72,99.14
C03,Absolute Quantification,ABS,BKT2_CARP_1.2_2,Ch1Unknown,CARP,Manual,80,ddPCR Supermix for Probes,1600,,,85,75,938,13304,0,938,4,13300,0,14242,,,,,,,,240,,,490,0,99.59,,,100.01,99.17,1,1,7000,8322.9,3806.1,4103.6,,,,,82.8,77.5,,,,,,,370,120,,,99.8,99.38
D01,Absolute Quantification,ABS,BKT2_CARP_0.4_2,Ch1Unknown,CARP,Manual,38.5,ddPCR Supermix for Probes,770,,,42.1,34.9,431,12962,0,431,1,12961,0,13393,,,,,,,,400,,,1500,0,99.8,,,100.3,99.2,1,1,7000,8605,3807.4,3961.8,,,,,40.3,36.6,,,,,,,920,0,,,100.02,99.52
D02,Absolute Quantification,ABS,BKT2_CARP_0.4_2,Ch1Unknown,CARP,Manual,31.5,ddPCR Supermix for Probes,630,,,35.5,27.4,233,8595,0,233,1,8594,0,8828,,,,,,,,240,,,800,0,99.6,,,100.6,98.6,1,1,7000,8810.1,3977.9,4105.4,,,,,33.5,29.4,,,,,,,500,0,,,100.04,99.11
D03,Absolute Quantification,ABS,BKT2_CARP_0.4_2,Ch1Unknown,CARP,Manual,34.6,ddPCR Supermix for Probes,692,,,37.9,31.2,405,13584,0,405,4,13580,0,13989,,,,,,,,100,,,210,0,99,,,100,98,1,1,7000,8791,4003.4,4142,,,,,36.3,32.8,,,,,,,160,50,,,99.53,98.55
E01,Absolute Quantification,ABS,BKT3_CARP_1.2_2,Ch1Unknown,CARP,Manual,82,ddPCR Supermix for Probes,1640,,,87,77,899,12459,2,897,7,12452,0.132,13358,,,,,,,,100,,,170,30,99,,,99.7,98.4,1,1,7000,8664.3,3879.3,4201.4,,,,,84.7,79.2,,,,,,,138,68,,,99.36,98.72
E02,Absolute Quantification,ABS,BKT3_CARP_1.2_2,Ch1Unknown,CARP,Manual,73,ddPCR Supermix for Probes,1460,,,80,67,535,8302,2,533,4,8298,0.232,8837,,,,,,,,90,,,170,20,98.9,,,99.8,98,1,1,7000,8909.7,4072,4364.9,,,,,76.7,70.3,,,,,,,130,54,,,99.37,98.48
E03,Absolute Quantification,ABS,BKT3_CARP_1.2_2,Ch1Unknown,CARP,Manual,71.1,ddPCR Supermix for Probes,1422,,,76,66.2,815,13081,0,815,13,13068,0,13896,,,,,,,,65,,,100,29,98.5,,,99.3,97.6,1,1,7000,8481.8,3891.5,4160.7,,,,,73.6,68.6,,,,,,,83,46,,,98.9,98.05
F01,Absolute Quantification,ABS,BKT3_CARP_0.4_2,Ch1Unknown,CARP,Manual,36.8,ddPCR Supermix for Probes,736,,,40.7,32.9,340,10712,0,340,0,10712,0,11052,,,,,,,,,,,,,,,,,,1,1,7000,8606.6,3862.5,4008.5,,,,,38.8,34.8,,,,,,,,,,,,
F02,Absolute Quantification,ABS,BKT3_CARP_0.4_2,Ch1Unknown,CARP,Manual,37.6,ddPCR Supermix for Probes,752,,,41.6,33.6,337,10370,0,337,0,10370,0,10707,,,,,,,,,,,,,,,,,,1,1,7000,8772.5,4026,4175.4,,,,,39.7,35.6,,,,,,,,,,,,
F03,Absolute Quantification,ABS,BKT3_CARP_0.4_2,Ch1Unknown,CARP,Manual,33.2,ddPCR Supermix for Probes,664,,,36.5,29.9,383,13383,1,382,0,13383,0.0855,13766,,,,,,,,400,,,1300,0,99.7,,,100.4,99.1,1,1,7000,8439.3,3923.6,4049.2,,,,,34.9,31.5,,,,,,,820,0,,,100.03,99.46
G01,Absolute Quantification,ABS,BKT4_CARP_1.2_2,Ch1Unknown,CARP,Manual,76.4,ddPCR Supermix for Probes,1528,,,81.3,71.5,936,13952,4,932,9,13943,0.269,14888,,,,,,,,74,,,116,33,98.7,,,99.4,97.9,1,1,7000,9045.9,4113,4423.2,,,,,78.9,73.9,,,,,,,95,53,,,99.04,98.31
G02,Absolute Quantification,ABS,BKT4_CARP_1.2_2,Ch1Unknown,CARP,Manual,79,ddPCR Supermix for Probes,1580,,,84,73,716,10360,2,714,7,10353,0.161,11076,,,,,,,,80,,,140,30,98.8,,,99.6,98,1,1,7000,8379.1,3889.5,4179.7,,,,,81.6,75.7,,,,,,,110,54,,,99.2,98.4
G03,Absolute Quantification,ABS,BKT4_CARP_1.2_2,Ch1Unknown,CARP,Manual,79.1,ddPCR Supermix for Probes,1582,,,83.9,74.4,1059,15219,4,1055,13,15206,0.224,16278,,,,,,,,64,,,96,33,98.5,,,99.2,97.7,1,1,7000,8449.3,3931.6,4225.5,,,,,81.6,76.7,,,,,,,80,49,,,98.84,98.1
H01,Absolute Quantification,ABS,BKT4_CARP_0.4_2,Ch1Unknown,CARP,Manual,42.4,ddPCR Supermix for Probes,848,,,46.2,38.7,483,13152,0,483,0,13152,0,13635,,,,,,,,,,,,,,,,,,1,1,7000,8794.9,3944,4115.9,,,,,44.4,40.5,,,,,,,,,,,,
H02,Absolute Quantification,ABS,BKT4_CARP_0.4_2,Ch1Unknown,CARP,Manual,45.1,ddPCR Supermix for Probes,902,,,49,41.2,512,13115,0,512,6,13109,0,13627,,,,,,,,90,,,160,10,98.9,,,99.8,97.9,1,1,7000,8643.3,3940.2,4116.9,,,,,47,43.1,,,,,,,123,51,,,99.33,98.4
H03,Absolute Quantification,ABS,BKT4_CARP_0.4_2,Ch1Unknown,CARP,Manual,36.1,ddPCR Supermix for Probes,722,,,39.2,33,524,16814,0,524,1,16813,0,17338,,,,,,,,500,,,1800,0,99.81,,,100.26,99.37,1,1,7000,8686.3,4000.3,4141.9,,,,,37.7,34.5,,,,,,,1100,0,,,100.02,99.6
A04,Absolute Quantification,ABS,BKT1_STHD_1.2_8,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.32,0,0,11036,0,0,599,10437,0,11036,,,,,,,,,,,,,,,,,,1,1,7000,0,4184.3,4184.3,,,,,0.15,0,,,,,,,,,,,,
A05,Absolute Quantification,ABS,BKT1_STHD_1.2_8,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.45,0,0,7913,0,0,443,7470,0,7913,,,,,,,,,,,,,,,,,,1,1,7000,0,3855.8,3855.8,,,,,0.2,0,,,,,,,,,,,,
A06,Absolute Quantification,ABS,BKT1_STHD_1.2_8,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.3,0,0,11931,0,0,708,11223,0,11931,,,,,,,,,,,,,,,,,,1,1,7000,0,3925.7,3925.7,,,,,0.13,0,,,,,,,,,,,,
B04,Absolute Quantification,ABS,BKT1_STHD_0.4_8,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.29,0,0,12052,0,0,354,11698,0,12052,,,,,,,,,,,,,,,,,,1,1,7000,0,3871.3,3871.3,,,,,0.13,0,,,,,,,,,,,,
