Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M3_T2_1.2,Ch1Unknown,CARP,Manual,3.8,ddPCR Supermix for Probes,76,,,5.2,2.6,31,9693,1,30,122,9571,0.0747,9724,,,,,,,,0.25,,,0.35,0.15,20,,,26,14,1,1,7000,8783,3982.5,3997.8,,,,,4.5,3.1,,,,,,,0.3,0.2,,,23.3,16.8
B01,Absolute Quantification,ABS,M3_T2_0.4,Ch1Unknown,CARP,Manual,1.6,ddPCR Supermix for Probes,32,,,3.1,0.7,8,5728,0,8,42,5686,0,5736,,,,,,,,0.19,,,0.34,0.04,16,,,26,6,1,1,7000,9038.7,3462.7,3470.5,,,,,2.3,1.1,,,,,,,0.26,0.12,,,21,11
C01,Absolute Quantification,ABS,M4_T2_1.2,Ch1Unknown,CARP,Manual,19.3,ddPCR Supermix for Probes,386,,,21.9,16.7,215,13010,20,195,762,12248,0.7,13225,,,,,,,,0.269,,,0.31,0.228,21.2,,,23.7,18.7,1,1,7000,9296.6,4445.3,4524.2,,,,,20.6,18,,,,,,,0.29,0.248,,,22.5,19.9
D01,Absolute Quantification,ABS,M4_T2_0.4,Ch1Unknown,CARP,Manual,3.8,ddPCR Supermix for Probes,76,,,5.3,2.7,34,10391,3,31,251,10140,0.252,10425,,,,,,,,0.132,,,0.18,0.085,11.7,,,15.4,8,1,1,7000,9113.1,4201.1,4217.1,,,,,4.5,3.2,,,,,,,0.157,0.108,,,13.6,9.8
E01,Absolute Quantification,ABS,M5_T2_1.2,Ch1Unknown,CARP,Manual,11.2,ddPCR Supermix for Probes,224,,,13.4,9,103,10777,4,99,436,10341,0,10880,,,,,,,,0.23,,,0.28,0.181,18.7,,,22,15.5,1,1,7000,9075.9,4176.8,4223.2,,,,,12.3,10.1,,,,,,,0.256,0.205,,,20.4,17.1
F01,Absolute Quantification,ABS,M5_T2_0.4,Ch1Unknown,CARP,Manual,1.9,ddPCR Supermix for Probes,38,,,2.9,1.1,17,10564,1,16,150,10414,0.0856,10581,,,,,,,,0.11,,,0.17,0.06,10.1,,,14.6,5.5,1,1,7000,9079.1,4135.4,4143.4,,,,,2.39,1.47,,,,,,,0.141,0.083,,,12.4,7.7
G01,Absolute Quantification,ABS,M6_T2_1.2,Ch1Unknown,CARP,Manual,4.3,ddPCR Supermix for Probes,86,,,5.7,3.2,46,12563,1,45,260,12303,0.00457,12609,,,,,,,,0.17,,,0.23,0.12,14.9,,,18.9,10.9,1,1,7000,9276.7,4182.3,4200.9,,,,,5,3.7,,,,,,,0.203,0.147,,,16.9,12.9
H01,Absolute Quantification,ABS,M6_T2_0.4,Ch1Unknown,CARP,Manual,1.9,ddPCR Supermix for Probes,38,,,3,1.1,17,10547,0,17,152,10395,0,10564,,,,,,,,0.11,,,0.17,0.05,10,,,14.6,5.4,1,1,7000,9326.8,4211.8,4220,,,,,2.39,1.47,,,,,,,0.14,0.083,,,12.3,7.7
A02,Absolute Quantification,ABS,M3_T2_1.2,Ch1Unknown,CARP,Manual,3.3,ddPCR Supermix for Probes,66,,,4.8,2.1,23,8250,2,21,95,8155,0.25,8273,,,,,,,,0.24,,,0.34,0.13,19,,,26,12,1,1,7000,9096.7,4084.4,4098.4,,,,,4,2.6,,,,,,,0.29,0.18,,,22.7,15.5
B02,Absolute Quantification,ABS,M3_T2_0.4,Ch1Unknown,CARP,Manual,1.8,ddPCR Supermix for Probes,36,,,2.8,1.1,17,11063,1,16,135,10928,0.0852,11080,,,,,,,,0.12,,,0.19,0.06,11,,,16,6,1,1,7000,9016.9,4152,4159.4,,,,,2.28,1.4,,,,,,,0.156,0.092,,,13.6,8.5
C02,Absolute Quantification,ABS,M4_T2_1.2,Ch1Unknown,CARP,Manual,23.4,ddPCR Supermix for Probes,468,,,26.4,20.4,231,11488,17,214,702,10786,0.308,11719,,,,,,,,0.314,,,0.361,0.268,23.9,,,26.6,21.2,1,1,7000,8982.8,4372.4,4463.3,,,,,25,21.9,,,,,,,0.338,0.291,,,25.3,22.5
D02,Absolute Quantification,ABS,M4_T2_0.4,Ch1Unknown,CARP,Manual,3.6,ddPCR Supermix for Probes,72,,,5,2.5,34,11023,0,34,260,10763,0,11057,,,,,,,,0.129,,,0.176,0.083,11.5,,,15.1,7.8,1,1,7000,8986.1,4209,4223.7,,,,,4.3,3,,,,,,,0.153,0.106,,,13.3,9.6
E02,Absolute Quantification,ABS,M5_T2_1.2,Ch1Unknown,CARP,Manual,9.3,ddPCR Supermix for Probes,186,,,11.6,7.4,75,9437,5,70,355,9082,0.28,9512,,,,,,,,0.21,,,0.26,0.15,17,,,20.6,13.5,1,1,7000,9297.7,4336.1,4375.2,,,,,10.4,8.3,,,,,,,0.231,0.179,,,18.8,15.2
F02,Absolute Quantification,ABS,M5_T2_0.4,Ch1Unknown,CARP,Manual,2.6,ddPCR Supermix for Probes,52,,,3.8,1.6,22,10017,0,22,182,9835,0,10039,,,,,,,,0.12,,,0.17,0.07,10.7,,,15,6.4,1,1,7000,9006.9,4239.4,4249.8,,,,,3.2,2.1,,,,,,,0.147,0.093,,,12.9,8.5
G02,Absolute Quantification,ABS,M6_T2_1.2,Ch1Unknown,CARP,Manual,4.3,ddPCR Supermix for Probes,86,,,5.8,3.1,41,11211,2,39,262,10949,0.112,11252,,,,,,,,0.15,,,0.2,0.1,13.3,,,17.1,9.5,1,1,7000,9279.5,4244.5,4262.9,,,,,5,3.7,,,,,,,0.18,0.128,,,15.3,11.4
H02,Absolute Quantification,ABS,M6_T2_0.4,Ch1Unknown,CARP,Manual,2.4,ddPCR Supermix for Probes,48,,,3.4,1.6,26,12778,2,24,192,12586,0.15,12804,,,,,,,,0.13,,,0.19,0.08,11.7,,,16,7.5,1,1,7000,9510.7,4321.5,4332.1,,,,,2.89,1.95,,,,,,,0.161,0.105,,,13.9,9.6
A03,Absolute Quantification,ABS,M3_T2_1.2,Ch1Unknown,CARP,Manual,3.7,ddPCR Supermix for Probes,74,,,5.2,2.5,29,9320,0,29,109,9211,0,9349,,,,,,,,0.26,,,0.37,0.16,21,,,28,14,1,1,7000,9084,4219.3,4234.4,,,,,4.4,3,,,,,,,0.32,0.21,,,24.4,17.5
