Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,BKT1_STHD_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.75,0,0,4689,0,0,571,4118,0,4689,,,,,,,,,,,,,,,,,,1,1,7000,0,4151.6,4151.6,,,,,0.34,0,,,,,,,,,,,,
A02,Absolute Quantification,ABS,BKT1_STHD_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.72,0,0,4916,0,0,789,4127,0,4916,,,,,,,,,,,,,,,,,,1,1,7000,0,4181,4181,,,,,0.33,0,,,,,,,,,,,,
A03,Absolute Quantification,ABS,BKT1_STHD_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.65,0,0,5393,0,0,1302,4091,0,5393,,,,,,,,,,,,,,,,,,1,1,7000,0,4391.4,4391.4,,,,,0.3,0,,,,,,,,,,,,
B01,Absolute Quantification,ABS,BKT1_STHD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.6,0,0,5850,0,0,755,5095,0,5850,,,,,,,,,,,,,,,,,,1,1,7000,0,4175.9,4175.9,,,,,0.28,0,,,,,,,,,,,,
B02,Absolute Quantification,ABS,BKT1_STHD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.71,0,0,4943,0,0,544,4399,0,4943,,,,,,,,,,,,,,,,,,1,1,7000,0,4121,4121,,,,,0.33,0,,,,,,,,,,,,
B03,Absolute Quantification,ABS,BKT1_STHD_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.71,0,0,4943,0,0,653,4290,0,4943,,,,,,,,,,,,,,,,,,1,1,7000,0,4245.3,4245.3,,,,,0.33,0,,,,,,,,,,,,
C01,Absolute Quantification,ABS,BKT2_STHD_1.2,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.59,0,0,5942,0,0,1877,4065,0,5942,,,,,,,,,,,,,,,,,,1,1,7000,0,4242.8,4242.8,,,,,0.27,0,,,,,,,,,,,,
C02,Absolute Quantification,ABS,BKT2_STHD_1.2,Ch1Unknown,CARP,Manual,0.17,ddPCR Supermix for Probes,3.4,,,0.79,0.01,1,7082,0,1,2239,4843,0,7083,,,,,,,,0.0004,,,0.0013,0,0.04,,,0.13,0,1,1,7000,7758.5,4258.6,4259.1,,,,,0.41,0.05,,,,,,,0.00078,0,,,0.078,0
C03,Absolute Quantification,ABS,BKT2_STHD_1.2,Ch1Unknown,CARP,Manual,0.2,ddPCR Supermix for Probes,4,,,1,0,1,5413,0,1,1265,4148,0,5414,,,,,,,,0.0007,,,0.0023,0,0.07,,,0.23,0,1,1,7000,7385.2,4284.7,4285.3,,,,,0.54,0.06,,,,,,,0.0015,0,,,0.15,0
D01,Absolute Quantification,ABS,BKT2_STHD_0.4,Ch1Unknown,CARP,Manual,0.19,ddPCR Supermix for Probes,3.8,,,0.89,0.01,1,6320,1,0,1176,5144,0.186,6321,,,,,,,,0.0008,,,0.0026,0,0.08,,,0.26,0,1,1,7000,7775.5,4130.9,4131.5,,,,,0.46,0.05,,,,,,,0.0016,0,,,0.16,0
