Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M9_T1A_1.2,Ch1Unknown,CARP,Manual,23.3,ddPCR Supermix for Probes,466,,,26.4,20.3,225,11236,19,206,1035,10201,0,11461,,,,,,,,0.206,,,0.235,0.176,17,,,19.1,15,1,1,7000,8464.5,3670.6,3764.7,,,,,24.9,21.8,,,,,,,0.221,0.19,,,18.1,16
A02,Absolute Quantification,ABS,M9_T1A_1.2,Ch1Unknown,CARP,Manual,27.8,ddPCR Supermix for Probes,556,,,31.3,24.2,237,9919,22,215,945,8974,0,10156,,,,,,,,0.236,,,0.27,0.202,19.1,,,21.3,16.9,1,1,7000,8520,3781.4,3891.9,,,,,29.6,26,,,,,,,0.253,0.219,,,20.2,18
A03,Absolute Quantification,ABS,M9_T1A_1.2,Ch1Unknown,CARP,Manual,25.5,ddPCR Supermix for Probes,510,,,28.6,22.4,267,12184,29,238,1118,11066,0.468,12451,,,,,,,,0.224,,,0.254,0.194,18.3,,,20.3,16.3,1,1,7000,8514.1,3827.7,3928.2,,,,,27.1,23.9,,,,,,,0.24,0.209,,,19.3,17.3
A04,Absolute Quantification,ABS,M7_T2_1.2,Ch1Unknown,CARP,Manual,8.5,ddPCR Supermix for Probes,170,,,10.8,6.5,63,8706,7,56,245,8461,0.722,8769,,,,,,,,0.25,,,0.32,0.18,19.8,,,24.2,15.4,1,1,7000,8552.8,3850.5,3884.3,,,,,9.6,7.5,,,,,,,0.282,0.212,,,22.1,17.6
A05,Absolute Quantification,ABS,M7_T2_1.2,Ch1Unknown,CARP,Manual,8.9,ddPCR Supermix for Probes,178,,,10.8,7.2,93,12287,10,83,381,11906,0.698,12380,,,,,,,,0.23,,,0.29,0.18,19,,,22.5,15.5,1,1,7000,8772,4006.3,4042.1,,,,,9.8,8,,,,,,,0.262,0.208,,,20.8,17.2
A06,Absolute Quantification,ABS,M7_T2_1.2,Ch1Unknown,CARP,Manual,8.7,ddPCR Supermix for Probes,174,,,11,6.7,66,8913,7,59,245,8668,0.699,8979,,,,,,,,0.26,,,0.33,0.19,20.6,,,25,16.1,1,1,7000,8521.3,3967.3,4000.8,,,,,9.8,7.7,,,,,,,0.295,0.223,,,22.8,18.3
A07,Absolute Quantification,ABS,M11_T2_1.2,Ch1Unknown,CARP,Manual,5.9,ddPCR Supermix for Probes,118,,,7.9,4.3,43,8536,6,37,172,8364,0.719,8579,,,,,,,,0.24,,,0.32,0.16,19,,,25,14,1,1,7000,8574.6,4017.9,4040.8,,,,,6.9,5.1,,,,,,,0.28,0.199,,,22,16.7
A08,Absolute Quantification,ABS,M11_T2_1.2,Ch1Unknown,CARP,Manual,6.8,ddPCR Supermix for Probes,136,,,8.7,5.3,62,10624,10,52,202,10422,0.99,10686,,,,,,,,0.29,,,0.37,0.21,22.5,,,27.5,17.5,1,1,7000,8586.5,4020.3,4046.8,,,,,7.8,6,,,,,,,0.332,0.248,,,25,20
A09,Absolute Quantification,ABS,M11_T2_1.2,Ch1Unknown,CARP,Manual,5.6,ddPCR Supermix for Probes,112,,,7.4,4.1,45,9414,6,39,192,9222,0.645,9459,,,,,,,,0.23,,,0.3,0.15,18.4,,,23.3,13.5,1,1,7000,8808.3,4166.5,4188.6,,,,,6.5,4.8,,,,,,,0.263,0.188,,,20.9,15.9
B01,Absolute Quantification,ABS,M9_T1A_0.4,Ch1Unknown,CARP,Manual,4.7,ddPCR Supermix for Probes,94,,,6.4,3.3,34,8558,1,33,252,8306,0,8592,,,,,,,,0.133,,,0.18,0.085,11.7,,,15.4,8,1,1,7000,8636.8,3663.3,3683,,,,,5.5,3.9,,,,,,,0.157,0.108,,,13.6,9.8
