Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M1_T3_1.2,Ch1Unknown,CARP,Manual,1,ddPCR Supermix for Probes,20,,,2.2,0.4,5,5863,0,5,47,5816,0,5868,,,,,,,,0.11,,,0.21,0,10,,,18,1,1,1,7000,9029.2,3490.9,3495.6,,,,,1.53,0.61,,,,,,,0.16,0.06,,,13.7,5.4
A02,Absolute Quantification,ABS,M1_T3_1.2,Ch1Unknown,CARP,Manual,0.6,ddPCR Supermix for Probes,12,,,1.6,0.1,3,5741,0,3,32,5709,0,5744,,,,,,,,0.09,,,0.21,0,9,,,18,0,1,1,7000,8863.8,3597.8,3600.5,,,,,1.05,0.32,,,,,,,0.15,0.04,,,13.4,3.7
A03,Absolute Quantification,ABS,M1_T3_1.2,Ch1Unknown,CARP,Manual,0.4,ddPCR Supermix for Probes,8,,,1.2,0.1,3,7883,0,3,56,7827,0,7886,,,,,,,,0.05,,,0.12,0,5,,,11,0,1,1,7000,8619.8,3687.7,3689.6,,,,,0.77,0.23,,,,,,,0.086,0.021,,,8,2.1
B01,Absolute Quantification,ABS,M1_T3_0.4,Ch1Unknown,CARP,Manual,0.9,ddPCR Supermix for Probes,18,,,1.7,0.4,9,11323,0,9,16,11307,0,11332,,,,,,,,0.56,,,1.03,0.09,36,,,55,17,1,1,7000,8898.7,3767.6,3771.7,,,,,1.28,0.66,,,,,,,0.8,0.33,,,46,26
B02,Absolute Quantification,ABS,M1_T3_0.4,Ch1Unknown,CARP,Manual,0.29,ddPCR Supermix for Probes,5.8,,,0.93,0.04,2,8145,1,1,14,8131,0.144,8147,,,,,,,,0.13,,,0.35,0,12,,,28,0,1,1,7000,8913.3,3957.5,3958.8,,,,,0.56,0.13,,,,,,,0.24,0.03,,,20,4
B03,Absolute Quantification,ABS,M1_T3_0.4,Ch1Unknown,CARP,Manual,0.33,ddPCR Supermix for Probes,6.6,,,0.87,0.08,3,10726,0,3,9,10717,0,10729,,,,,,,,0.33,,,0.79,0,25,,,51,0,1,1,7000,9016.8,3955.7,3957.2,,,,,0.56,0.17,,,,,,,0.56,0.11,,,38,12
C01,Absolute Quantification,ABS,M2_T3_1.2,Ch1Unknown,CARP,Manual,3.5,ddPCR Supermix for Probes,70,,,5,2.4,28,9269,1,27,146,9123,0.0719,9297,,,,,,,,0.19,,,0.27,0.11,16,,,21,10,1,1,7000,8695.2,3831.7,3846.4,,,,,4.3,2.9,,,,,,,0.228,0.15,,,18.7,13.2
C02,Absolute Quantification,ABS,M2_T3_1.2,Ch1Unknown,CARP,Manual,5.9,ddPCR Supermix for Probes,118,,,7.4,4.7,73,14480,1,72,194,14286,0.0018,14553,,,,,,,,0.37,,,0.47,0.27,27,,,32,22,1,1,7000,9134.9,4094.8,4120.1,,,,,6.6,5.3,,,,,,,0.42,0.32,,,29.9,24.4
C03,Absolute Quantification,ABS,M2_T3_1.2,Ch1Unknown,CARP,Manual,4.1,ddPCR Supermix for Probes,82,,,5.7,2.9,35,9945,1,34,125,9820,0.0669,9980,,,,,,,,0.28,,,0.38,0.17,22,,,28,15,1,1,7000,8945.4,4015.1,4032.4,,,,,4.9,3.5,,,,,,,0.33,0.22,,,24.9,18.4
D01,Absolute Quantification,ABS,M2_T3_0.4,Ch1Unknown,CARP,Manual,0.9,ddPCR Supermix for Probes,18,,,1.6,0.5,10,12946,0,10,112,12834,0,12956,,,,,,,,0.09,,,0.15,0.03,8.2,,,13.1,3.2,1,1,7000,9097.6,3917.3,3921.3,,,,,1.23,0.65,,,,,,,0.118,0.059,,,10.7,5.7
D02,Absolute Quantification,ABS,M2_T3_0.4,Ch1Unknown,CARP,Manual,4.7,ddPCR Supermix for Probes,94,,,6.4,3.3,35,8829,30,5,132,8697,3.98,8864,,,,,,,,0.21,,,0.29,0.14,18,,,23,12,1,1,7000,7584.5,4155.6,4169.1,,,,,5.5,3.9,,,,,,,0.254,0.175,,,20.4,15
D03,Absolute Quantification,ABS,M2_T3_0.4,Ch1Unknown,CARP,Manual,0.64,ddPCR Supermix for Probes,12.8,,,1.25,0.27,7,12845,0,7,114,12731,0,12852,,,,,,,,0.061,,,0.109,0.013,5.8,,,10,1.5,1,1,7000,8835,4050,4052.6,,,,,0.92,0.43,,,,,,,0.085,0.037,,,7.9,3.6
E01,Absolute Quantification,ABS,M3_T3_1.2,Ch1Unknown,CARP,Manual,1.7,ddPCR Supermix for Probes,34,,,2.7,1.1,18,12136,0,18,102,12034,0,12154,,,,,,,,0.18,,,0.26,0.09,15,,,21,9,1,1,7000,9135.6,3929.2,3936.9,,,,,2.19,1.36,,,,,,,0.221,0.131,,,18.2,11.7
