"","Well","Sample","Target","Concentration","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run"
"1399","G12","Negative_CTL","CARP",0,0,0,15269,15269,7000,12
"1400","H10","Negative_CTL","CARP",0,0,0,11844,11844,7000,12
"1401","H11","Negative_CTL","CARP",0,0,0,10708,10708,7000,12
"1402","H12","Negative_CTL","CARP",0,0,0,13615,13615,7000,12
"1493","G10","Positive_CTL","STHD",64.7,1294,825,14590,15415,4500,12
"1494","G11","Positive_CTL","STHD",77,1540,769,11409,12178,4500,12
"1495","G12","Negative_CTL","STHD",0,0,0,15269,15269,4500,12
"1496","H10","Negative_CTL","STHD",0,0,0,11844,11844,4500,12
"1497","H11","Negative_CTL","STHD",0,0,0,10708,10708,4500,12
"1498","H12","Negative_CTL","STHD",0,0,0,13615,13615,4500,12
"1571","A10","CB_T1A_0.4A10","CARP",0.08,1.6,1,14350,14351,7000,13
"1572","A11","CB_T1A_0.4A11","CARP",0,0,0,12929,12929,7000,13
"1573","A12","CB_T1A_0.4A12","CARP",0,0,0,13813,13813,7000,13
"1574","B10","CB_T1A_0.4","CARP",0,0,0,12029,12029,7000,13
"1575","B11","CB_T2_0.4","CARP",0,0,0,13795,13795,7000,13
"1576","B12","CB_T2_0.4","CARP",0,0,0,12124,12124,7000,13
"1577","C10","CB_T3_0.4","CARP",0,0,0,13187,13187,7000,13
"1578","C11","CB_T3_0.4","CARP",0,0,0,15483,15483,7000,13
"1579","C12","CB_T3_0.4","CARP",0,0,0,14661,14661,7000,13
"1580","D10","CB_T4_0.4","CARP",0,0,0,12460,12460,7000,13
"1581","D11","CB_T4_0.4","CARP",0,0,0,13114,13114,7000,13
"1582","D12","CB_T4_0.4","CARP",0,0,0,14688,14688,7000,13
"1583","E10","CB_BKD_0.4","CARP",0,0,0,14293,14293,7000,13
"1584","E11","CB_BKD_0.4","CARP",0,0,0,14852,14852,7000,13
"1585","E12","CB_BKD_0.4","CARP",0,0,0,15566,15566,7000,13
"1586","F10","EB_7/18/22","CARP",0,0,0,13564,13564,7000,13
"1587","F11","EB_7/18/22","CARP",0,0,0,14070,14070,7000,13
"1588","F12","EB_7/18/22","CARP",0,0,0,14535,14535,7000,13
"1589","G10","Positive_CTL","CARP",106,2120,1238,13092,14330,7000,13
"1590","G11","Positive_CTL","CARP",100,2000,1290,14607,15897,7000,13
"1591","G12","Negative_CTL","CARP",0,0,0,13364,13364,7000,13
"1592","H10","Negative_CTL","CARP",0,0,0,14410,14410,7000,13
"1593","H11","Negative_CTL","CARP",0,0,0,15417,15417,7000,13
"1594","H12","Negative_CTL","CARP",0,0,0,11212,11212,7000,13
"1667","A10","CB_T1A_0.4A10","STHD",0,0,0,14351,14351,4500,13
"1668","A11","CB_T1A_0.4A11","STHD",0,0,0,12929,12929,4500,13
"1669","A12","CB_T1A_0.4A12","STHD",0,0,0,13813,13813,4500,13
"1670","B10","CB_T1A_0.4","STHD",0,0,0,12029,12029,4500,13
"1671","B11","CB_T2_0.4","STHD",0,0,0,13795,13795,4500,13
"1672","B12","CB_T2_0.4","STHD",0,0,0,12124,12124,4500,13
"1673","C10","CB_T3_0.4","STHD",0.09,1.8,1,13186,13187,4500,13
"1674","C11","CB_T3_0.4","STHD",0,0,0,15483,15483,4500,13
"1675","C12","CB_T3_0.4","STHD",0,0,0,14661,14661,4500,13
"1676","D10","CB_T4_0.4","STHD",0,0,0,12460,12460,4500,13
"1677","D11","CB_T4_0.4","STHD",0,0,0,13114,13114,4500,13
"1678","D12","CB_T4_0.4","STHD",0,0,0,14688,14688,4500,13
"1679","E10","CB_BKD_0.4","STHD",0,0,0,14293,14293,4500,13
"1680","E11","CB_BKD_0.4","STHD",0,0,0,14852,14852,4500,13
"1681","E12","CB_BKD_0.4","STHD",0,0,0,15566,15566,4500,13
"1682","F10","EB_7/18/22","STHD",0,0,0,13564,13564,4500,13
"1683","F11","EB_7/18/22","STHD",0,0,0,14070,14070,4500,13
"1684","F12","EB_7/18/22","STHD",0,0,0,14535,14535,4500,13
"1685","G10","Positive_CTL","STHD",62.3,1246,739,13591,14330,4500,13
"1686","G11","Positive_CTL","STHD",59.2,1184,780,15117,15897,4500,13
"1687","G12","Negative_CTL","STHD",0,0,0,13364,13364,4500,13
"1688","H10","Negative_CTL","STHD",0,0,0,14410,14410,4500,13
"1689","H11","Negative_CTL","STHD",0,0,0,15417,15417,4500,13
"1690","H12","Negative_CTL","STHD",0,0,0,11212,11212,4500,13
"1715","A04","EB_6/13/22","CARP",0,0,0,5905,5905,7000,14
"1716","A05","EB_6/13/22","CARP",0,0,0,7030,7030,7000,14
"1717","A06","EB_6/13/22","CARP",0,0,0,6492,6492,7000,14
"1718","B04","EB_6/14/22","CARP",0,0,0,6609,6609,7000,14
"1719","B05","EB_6/14/22","CARP",0,0,0,6179,6179,7000,14
"1720","B06","EB_6/14/22","CARP",0,0,0,6496,6496,7000,14
"1721","C04","EB_6/20/22","CARP",0,0,0,5996,5996,7000,14
"1722","C05","EB_6/20/22","CARP",0,0,0,6737,6737,7000,14
"1723","C06","EB_6/20/22","CARP",0,0,0,8077,8077,7000,14
"1724","D04","EB_6/22/22","CARP",0,0,0,7222,7222,7000,14
"1725","D05","EB_6/22/22","CARP",0,0,0,7636,7636,7000,14
"1726","D06","EB_6/22/22","CARP",0,0,0,10503,10503,7000,14
"1727","E04","EB_6/23/22","CARP",0,0,0,8125,8125,7000,14
"1728","E05","EB_6/23/22","CARP",0,0,0,9401,9401,7000,14
"1729","E06","EB_6/23/22","CARP",0,0,0,10801,10801,7000,14
"1730","F04","EB_6/27/22","CARP",0,0,0,7243,7243,7000,14
"1731","F05","EB_6/27/22","CARP",0,0,0,7358,7358,7000,14
"1732","F06","EB_6/27/22","CARP",0,0,0,7456,7456,7000,14
"1733","G04","EB_7/5/22","CARP",0,0,0,6303,6303,7000,14
"1734","G05","EB_7/5/22","CARP",0,0,0,7561,7561,7000,14
"1735","G06","EB_7/5/22","CARP",0,0,0,6827,6827,7000,14
"1736","H04","EB_7/5/22","CARP",0,0,0,5896,5896,7000,14
"1737","H05","EB_7/5/22","CARP",0,0,0,8167,8167,7000,14
"1738","H06","EB_7/5/22","CARP",0,0,0,6446,6446,7000,14
"1739","A07","EB_7/8/22","CARP",0,0,0,3923,3923,7000,14
