Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
D07,Absolute Quantification,ABS,M20_T2_0.4,Ch2Unknown,STHD,Manual,13.1,ddPCR Supermix for Probes,262,,,15.2,10.9,143,12778,0,24,143,12754,0,12921,,,,,,,,0.17,,,0.24,0.09,14,,,20,9,1,1,4500,5920.2,1164.3,1216.9,,,,,14.2,12,,,,,,,0.204,0.13,,,17,11.6
D08,Absolute Quantification,ABS,M20_T2_0.4,Ch2Unknown,STHD,Manual,12.7,ddPCR Supermix for Probes,254,,,14.8,10.6,140,12901,0,20,140,12881,0,13041,,,,,,,,0.14,,,0.21,0.07,12,,,18,7,1,1,4500,5769.8,1141.3,1191,,,,,13.8,11.6,,,,,,,0.176,0.108,,,15.1,9.8
D09,Absolute Quantification,ABS,M20_T2_0.4,Ch2Unknown,STHD,Manual,14,ddPCR Supermix for Probes,280,,,16.2,11.8,151,12621,1,22,150,12599,0.068,12772,,,,,,,,0.15,,,0.22,0.08,13,,,18,8,1,1,4500,5949.3,1153.7,1210.4,,,,,15.1,12.9,,,,,,,0.185,0.118,,,15.7,10.6
E07,Absolute Quantification,ABS,M21_T2_1.2,Ch2Unknown,STHD,Manual,59,ddPCR Supermix for Probes,1180,,,64,53,414,8087,2,57,412,8030,0,8501,,,,,,,,0.139,,,0.178,0.101,12.2,,,15.2,9.3,1,1,4500,5848.8,1172.7,1400.5,,,,,61.6,55.9,,,,,,,0.159,0.12,,,13.7,10.7
E08,Absolute Quantification,ABS,M21_T2_1.2,Ch2Unknown,STHD,Manual,60.6,ddPCR Supermix for Probes,1212,,,65.3,56,643,12156,8,112,635,12044,0.193,12799,,,,,,,,0.183,,,0.218,0.147,15.5,,,18,12.9,1,1,4500,5755.6,1155.7,1386.8,,,,,63,58.3,,,,,,,0.201,0.165,,,16.8,14.2
E09,Absolute Quantification,ABS,M21_T2_1.2,Ch2Unknown,STHD,Manual,67.5,ddPCR Supermix for Probes,1350,,,72,63,879,14885,6,159,873,14726,0,15764,,,,,,,,0.183,,,0.214,0.153,15.5,,,17.7,13.3,1,1,4500,5911,1163.2,1427.9,,,,,69.8,65.2,,,,,,,0.199,0.168,,,16.6,14.4
F07,Absolute Quantification,ABS,M21_T2_0.4,Ch2Unknown,STHD,Manual,34.2,ddPCR Supermix for Probes,684,,,37.8,30.6,350,11872,1,32,349,11840,0.00546,12222,,,,,,,,0.093,,,0.126,0.06,8.5,,,11.3,5.7,1,1,4500,5834.1,1161.8,1295.6,,,,,36,32.4,,,,,,,0.11,0.076,,,9.9,7.1
F08,Absolute Quantification,ABS,M21_T2_0.4,Ch2Unknown,STHD,Manual,33,ddPCR Supermix for Probes,660,,,36.3,29.6,370,13016,2,37,368,12979,0.0836,13386,,,,,,,,0.104,,,0.139,0.07,9.4,,,12.3,6.6,1,1,4500,5840.9,1165.7,1294.9,,,,,34.7,31.3,,,,,,,0.122,0.087,,,10.9,8
F09,Absolute Quantification,ABS,M21_T2_0.4,Ch2Unknown,STHD,Manual,40.2,ddPCR Supermix for Probes,804,,,43.8,36.7,496,14254,3,48,493,14206,0.106,14750,,,,,,,,0.101,,,0.131,0.072,9.2,,,11.6,6.8,1,1,4500,5911.9,1162.4,1322.1,,,,,42.1,38.4,,,,,,,0.116,0.086,,,10.4,8
G07,Absolute Quantification,ABS,M22_T2_1.2,Ch2Unknown,STHD,Manual,15.5,ddPCR Supermix for Probes,310,,,18.2,12.8,124,9355,3,18,121,9337,0.343,9479,,,,,,,,0.17,,,0.25,0.09,14,,,20,9,1,1,4500,5718.2,1145.9,1205.7,,,,,16.9,14.1,,,,,,,0.208,0.129,,,17.3,11.5
G08,Absolute Quantification,ABS,M22_T2_1.2,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,3.5,0,0,1001,0,0,0,1001,0,1001,,,,,,,,,,,,,,,,,,1,1,4500,0,1027.6,1027.6,,,,,1.6,0,,,,,,,,,,,,
G09,Absolute Quantification,ABS,M22_T2_1.2,Ch2Unknown,STHD,Manual,19.6,ddPCR Supermix for Probes,392,,,22.4,16.8,192,11427,3,27,189,11400,0.258,11619,,,,,,,,0.16,,,0.22,0.1,13.4,,,17.9,8.9,1,1,4500,5850.8,1155.2,1232.8,,,,,21,18.2,,,,,,,0.186,0.125,,,15.7,11.1
H07,Absolute Quantification,ABS,M22_T2_0.4,Ch2Unknown,STHD,Manual,26.5,ddPCR Supermix for Probes,530,,,29.9,23.1,236,10362,2,34,234,10328,0.137,10598,,,,,,,,0.15,,,0.2,0.1,13.1,,,17.2,9.1,1,1,4500,5724,1124.6,1227,,,,,28.2,24.8,,,,,,,0.178,0.124,,,15.2,11.1
H08,Absolute Quantification,ABS,M22_T2_0.4,Ch2Unknown,STHD,Manual,26.3,ddPCR Supermix for Probes,526,,,29.2,23.5,328,14488,1,51,327,14437,0,14816,,,,,,,,0.157,,,0.203,0.111,13.6,,,17,10.1,1,1,4500,5953.4,1164.7,1270.7,,,,,27.8,24.9,,,,,,,0.18,0.134,,,15.3,11.8
H09,Absolute Quantification,ABS,M22_T2_0.4,Ch2Unknown,STHD,Manual,27.6,ddPCR Supermix for Probes,552,,,30.5,24.8,365,15349,2,43,363,15306,0.0734,15714,,,,,,,,0.122,,,0.16,0.084,10.9,,,13.9,7.9,1,1,4500,5892.2,1148.5,1258.7,,,,,29.1,26.2,,,,,,,0.141,0.103,,,12.4,9.3
A10,Absolute Quantification,ABS,M23_T2_1.2,Ch2Unknown,STHD,Manual,107,ddPCR Supermix for Probes,2140,,,113,101,1265,13302,30,284,1235,13018,0.247,14567,,,,,,,,0.24,,,0.27,0.21,19.3,,,21.3,17.4,1,1,4500,5799.3,1198.3,1597.8,,,,,109.9,103.9,,,,,,,0.255,0.225,,,20.3,18.4
